"export-plot data (NetLogo 7.0.4)"
"evacuacao_incendio.nlogo"
"06/07/2026 22:24:54:666 -0300"

"MODEL SETTINGS"
"percent-idosos","coef-calor","linha-incendio","beta-saude","gamma-fadiga","lambda-fumaca","peso-fumaca","percent-pcd","andar-incendio","max-ticks","coef-co2","peso-calor","numero-ocupantes","peso-congestao","coef-co","coluna-incendio"
"15","0.004","10","1","0.4","1.5","20","5","5","8000","0.002","15","300","3","0.003","10"

"""Evacuacao x Tempo"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","300","0","300","true","""Evacuados""","true","3"

"pen name","pen down?","mode","interval","color","x"
"""Evacuados""","true","0","1","65","288"
"""Mortos""","true","0","1","15","288"
"""Ativos""","true","0","1","105","288"

"""Evacuados""",,,,"""Mortos""",,,,"""Ativos"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","65","true","0","0","15","true","0","300","105","true"
"1","0","65","true","1","0","15","true","1","300","105","true"
"2","0","65","true","2","0","15","true","2","300","105","true"
"3","0","65","true","3","0","15","true","3","300","105","true"
"4","1","65","true","4","0","15","true","4","299","105","true"
"5","1","65","true","5","0","15","true","5","299","105","true"
"6","1","65","true","6","0","15","true","6","299","105","true"
"7","1","65","true","7","0","15","true","7","299","105","true"
"8","1","65","true","8","0","15","true","8","299","105","true"
"9","1","65","true","9","0","15","true","9","299","105","true"
"10","2","65","true","10","0","15","true","10","298","105","true"
"11","2","65","true","11","0","15","true","11","298","105","true"
"12","5","65","true","12","0","15","true","12","295","105","true"
"13","5","65","true","13","0","15","true","13","295","105","true"
"14","7","65","true","14","0","15","true","14","293","105","true"
"15","8","65","true","15","0","15","true","15","292","105","true"
"16","9","65","true","16","0","15","true","16","291","105","true"
"17","9","65","true","17","0","15","true","17","291","105","true"
"18","9","65","true","18","0","15","true","18","291","105","true"
"19","9","65","true","19","0","15","true","19","291","105","true"
"20","9","65","true","20","0","15","true","20","291","105","true"
"21","9","65","true","21","0","15","true","21","291","105","true"
"22","9","65","true","22","0","15","true","22","291","105","true"
"23","10","65","true","23","0","15","true","23","290","105","true"
"24","10","65","true","24","0","15","true","24","290","105","true"
"25","10","65","true","25","0","15","true","25","290","105","true"
"26","10","65","true","26","0","15","true","26","290","105","true"
"27","11","65","true","27","0","15","true","27","289","105","true"
"28","12","65","true","28","0","15","true","28","288","105","true"
"29","14","65","true","29","0","15","true","29","286","105","true"
"30","15","65","true","30","0","15","true","30","285","105","true"
"31","17","65","true","31","0","15","true","31","283","105","true"
"32","19","65","true","32","0","15","true","32","281","105","true"
"33","21","65","true","33","0","15","true","33","279","105","true"
"34","21","65","true","34","0","15","true","34","279","105","true"
"35","24","65","true","35","0","15","true","35","276","105","true"
"36","25","65","true","36","0","15","true","36","275","105","true"
"37","27","65","true","37","0","15","true","37","273","105","true"
"38","28","65","true","38","0","15","true","38","272","105","true"
"39","30","65","true","39","0","15","true","39","270","105","true"
"40","31","65","true","40","0","15","true","40","269","105","true"
"41","32","65","true","41","0","15","true","41","268","105","true"
"42","35","65","true","42","0","15","true","42","265","105","true"
"43","36","65","true","43","0","15","true","43","264","105","true"
"44","38","65","true","44","1","15","true","44","261","105","true"
"45","39","65","true","45","1","15","true","45","260","105","true"
"46","42","65","true","46","1","15","true","46","257","105","true"
"47","43","65","true","47","2","15","true","47","255","105","true"
"48","44","65","true","48","3","15","true","48","253","105","true"
"49","46","65","true","49","4","15","true","49","250","105","true"
"50","47","65","true","50","4","15","true","50","249","105","true"
"51","50","65","true","51","4","15","true","51","246","105","true"
"52","50","65","true","52","4","15","true","52","246","105","true"
"53","53","65","true","53","5","15","true","53","242","105","true"
"54","53","65","true","54","5","15","true","54","242","105","true"
"55","55","65","true","55","5","15","true","55","240","105","true"
"56","57","65","true","56","5","15","true","56","238","105","true"
"57","59","65","true","57","5","15","true","57","236","105","true"
"58","60","65","true","58","5","15","true","58","235","105","true"
"59","63","65","true","59","5","15","true","59","232","105","true"
"60","64","65","true","60","5","15","true","60","231","105","true"
"61","66","65","true","61","5","15","true","61","229","105","true"
"62","68","65","true","62","5","15","true","62","227","105","true"
"63","71","65","true","63","5","15","true","63","224","105","true"
"64","73","65","true","64","5","15","true","64","222","105","true"
"65","75","65","true","65","5","15","true","65","220","105","true"
"66","76","65","true","66","5","15","true","66","219","105","true"
"67","78","65","true","67","5","15","true","67","217","105","true"
"68","80","65","true","68","5","15","true","68","215","105","true"
"69","81","65","true","69","5","15","true","69","214","105","true"
"70","84","65","true","70","5","15","true","70","211","105","true"
"71","85","65","true","71","5","15","true","71","210","105","true"
"72","87","65","true","72","5","15","true","72","208","105","true"
"73","88","65","true","73","5","15","true","73","207","105","true"
"74","90","65","true","74","5","15","true","74","205","105","true"
"75","91","65","true","75","5","15","true","75","204","105","true"
"76","94","65","true","76","5","15","true","76","201","105","true"
"77","97","65","true","77","5","15","true","77","198","105","true"
"78","98","65","true","78","5","15","true","78","197","105","true"
"79","100","65","true","79","5","15","true","79","195","105","true"
"80","103","65","true","80","5","15","true","80","192","105","true"
"81","104","65","true","81","7","15","true","81","189","105","true"
"82","107","65","true","82","8","15","true","82","185","105","true"
"83","108","65","true","83","9","15","true","83","183","105","true"
"84","110","65","true","84","10","15","true","84","180","105","true"
"85","112","65","true","85","12","15","true","85","176","105","true"
"86","114","65","true","86","15","15","true","86","171","105","true"
"87","115","65","true","87","16","15","true","87","169","105","true"
"88","118","65","true","88","17","15","true","88","165","105","true"
"89","120","65","true","89","17","15","true","89","163","105","true"
"90","122","65","true","90","18","15","true","90","160","105","true"
"91","123","65","true","91","20","15","true","91","157","105","true"
"92","125","65","true","92","23","15","true","92","152","105","true"
"93","127","65","true","93","26","15","true","93","147","105","true"
"94","129","65","true","94","29","15","true","94","142","105","true"
"95","131","65","true","95","29","15","true","95","140","105","true"
"96","132","65","true","96","30","15","true","96","138","105","true"
"97","134","65","true","97","32","15","true","97","134","105","true"
"98","136","65","true","98","32","15","true","98","132","105","true"
"99","138","65","true","99","32","15","true","99","130","105","true"
"100","139","65","true","100","34","15","true","100","127","105","true"
"101","141","65","true","101","38","15","true","101","121","105","true"
"102","143","65","true","102","39","15","true","102","118","105","true"
"103","145","65","true","103","41","15","true","103","114","105","true"
"104","147","65","true","104","42","15","true","104","111","105","true"
"105","149","65","true","105","44","15","true","105","107","105","true"
"106","150","65","true","106","45","15","true","106","105","105","true"
"107","152","65","true","107","45","15","true","107","103","105","true"
"108","154","65","true","108","45","15","true","108","101","105","true"
"109","155","65","true","109","45","15","true","109","100","105","true"
"110","156","65","true","110","45","15","true","110","99","105","true"
"111","158","65","true","111","46","15","true","111","96","105","true"
"112","160","65","true","112","46","15","true","112","94","105","true"
"113","162","65","true","113","46","15","true","113","92","105","true"
"114","165","65","true","114","47","15","true","114","88","105","true"
"115","166","65","true","115","47","15","true","115","87","105","true"
"116","168","65","true","116","47","15","true","116","85","105","true"
"117","169","65","true","117","47","15","true","117","84","105","true"
"118","172","65","true","118","47","15","true","118","81","105","true"
"119","174","65","true","119","47","15","true","119","79","105","true"
"120","176","65","true","120","47","15","true","120","77","105","true"
"121","177","65","true","121","47","15","true","121","76","105","true"
"122","179","65","true","122","47","15","true","122","74","105","true"
"123","180","65","true","123","47","15","true","123","73","105","true"
"124","182","65","true","124","47","15","true","124","71","105","true"
"125","185","65","true","125","47","15","true","125","68","105","true"
"126","185","65","true","126","47","15","true","126","68","105","true"
"127","186","65","true","127","47","15","true","127","67","105","true"
"128","188","65","true","128","47","15","true","128","65","105","true"
"129","189","65","true","129","47","15","true","129","64","105","true"
"130","191","65","true","130","47","15","true","130","62","105","true"
"131","193","65","true","131","47","15","true","131","60","105","true"
"132","194","65","true","132","47","15","true","132","59","105","true"
"133","196","65","true","133","47","15","true","133","57","105","true"
"134","198","65","true","134","47","15","true","134","55","105","true"
"135","201","65","true","135","47","15","true","135","52","105","true"
