"export-plot data (NetLogo 7.0.4)"
"evacuacao_incendio.nlogo"
"06/07/2026 22:25:07:110 -0300"

"MODEL SETTINGS"
"percent-idosos","coef-calor","linha-incendio","beta-saude","gamma-fadiga","lambda-fumaca","peso-fumaca","percent-pcd","andar-incendio","max-ticks","coef-co2","peso-calor","numero-ocupantes","peso-congestao","coef-co","coluna-incendio"
"15","0.004","10","1","0.4","1.5","20","5","5","8000","0.002","15","300","3","0.003","10"

"""Evacuados por perfil"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","300","0","240","true","""Adulto""","true","3"

"pen name","pen down?","mode","interval","color","x"
"""Adulto""","true","0","1","105","288"
"""Idoso""","true","0","1","25","288"
"""PcD""","true","0","1","115","288"

"""Adulto""",,,,"""Idoso""",,,,"""PcD"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","105","true","0","0","25","true","0","0","115","true"
"1","0","105","true","1","0","25","true","1","0","115","true"
"2","0","105","true","2","0","25","true","2","0","115","true"
"3","0","105","true","3","0","25","true","3","0","115","true"
"4","1","105","true","4","0","25","true","4","0","115","true"
"5","1","105","true","5","0","25","true","5","0","115","true"
"6","1","105","true","6","0","25","true","6","0","115","true"
"7","1","105","true","7","0","25","true","7","0","115","true"
"8","1","105","true","8","0","25","true","8","0","115","true"
"9","1","105","true","9","0","25","true","9","0","115","true"
"10","2","105","true","10","0","25","true","10","0","115","true"
"11","2","105","true","11","0","25","true","11","0","115","true"
"12","5","105","true","12","0","25","true","12","0","115","true"
"13","5","105","true","13","0","25","true","13","0","115","true"
"14","7","105","true","14","0","25","true","14","0","115","true"
"15","8","105","true","15","0","25","true","15","0","115","true"
"16","9","105","true","16","0","25","true","16","0","115","true"
"17","9","105","true","17","0","25","true","17","0","115","true"
"18","9","105","true","18","0","25","true","18","0","115","true"
"19","9","105","true","19","0","25","true","19","0","115","true"
"20","9","105","true","20","0","25","true","20","0","115","true"
"21","9","105","true","21","0","25","true","21","0","115","true"
"22","9","105","true","22","0","25","true","22","0","115","true"
"23","10","105","true","23","0","25","true","23","0","115","true"
"24","10","105","true","24","0","25","true","24","0","115","true"
"25","10","105","true","25","0","25","true","25","0","115","true"
"26","10","105","true","26","0","25","true","26","0","115","true"
"27","11","105","true","27","0","25","true","27","0","115","true"
"28","11","105","true","28","1","25","true","28","0","115","true"
"29","13","105","true","29","1","25","true","29","0","115","true"
"30","14","105","true","30","1","25","true","30","0","115","true"
"31","16","105","true","31","1","25","true","31","0","115","true"
"32","18","105","true","32","1","25","true","32","0","115","true"
"33","20","105","true","33","1","25","true","33","0","115","true"
"34","20","105","true","34","1","25","true","34","0","115","true"
"35","23","105","true","35","1","25","true","35","0","115","true"
"36","24","105","true","36","1","25","true","36","0","115","true"
"37","26","105","true","37","1","25","true","37","0","115","true"
"38","27","105","true","38","1","25","true","38","0","115","true"
"39","29","105","true","39","1","25","true","39","0","115","true"
"40","30","105","true","40","1","25","true","40","0","115","true"
"41","31","105","true","41","1","25","true","41","0","115","true"
"42","34","105","true","42","1","25","true","42","0","115","true"
"43","35","105","true","43","1","25","true","43","0","115","true"
"44","37","105","true","44","1","25","true","44","0","115","true"
"45","38","105","true","45","1","25","true","45","0","115","true"
"46","41","105","true","46","1","25","true","46","0","115","true"
"47","42","105","true","47","1","25","true","47","0","115","true"
"48","43","105","true","48","1","25","true","48","0","115","true"
"49","45","105","true","49","1","25","true","49","0","115","true"
"50","46","105","true","50","1","25","true","50","0","115","true"
"51","49","105","true","51","1","25","true","51","0","115","true"
"52","49","105","true","52","1","25","true","52","0","115","true"
"53","52","105","true","53","1","25","true","53","0","115","true"
"54","52","105","true","54","1","25","true","54","0","115","true"
"55","54","105","true","55","1","25","true","55","0","115","true"
"56","56","105","true","56","1","25","true","56","0","115","true"
"57","58","105","true","57","1","25","true","57","0","115","true"
"58","59","105","true","58","1","25","true","58","0","115","true"
"59","62","105","true","59","1","25","true","59","0","115","true"
"60","63","105","true","60","1","25","true","60","0","115","true"
"61","65","105","true","61","1","25","true","61","0","115","true"
"62","67","105","true","62","1","25","true","62","0","115","true"
"63","70","105","true","63","1","25","true","63","0","115","true"
"64","72","105","true","64","1","25","true","64","0","115","true"
"65","74","105","true","65","1","25","true","65","0","115","true"
"66","75","105","true","66","1","25","true","66","0","115","true"
"67","77","105","true","67","1","25","true","67","0","115","true"
"68","79","105","true","68","1","25","true","68","0","115","true"
"69","80","105","true","69","1","25","true","69","0","115","true"
"70","82","105","true","70","2","25","true","70","0","115","true"
"71","83","105","true","71","2","25","true","71","0","115","true"
"72","85","105","true","72","2","25","true","72","0","115","true"
"73","86","105","true","73","2","25","true","73","0","115","true"
"74","88","105","true","74","2","25","true","74","0","115","true"
"75","89","105","true","75","2","25","true","75","0","115","true"
"76","92","105","true","76","2","25","true","76","0","115","true"
"77","95","105","true","77","2","25","true","77","0","115","true"
"78","96","105","true","78","2","25","true","78","0","115","true"
"79","98","105","true","79","2","25","true","79","0","115","true"
"80","101","105","true","80","2","25","true","80","0","115","true"
"81","102","105","true","81","2","25","true","81","0","115","true"
"82","105","105","true","82","2","25","true","82","0","115","true"
"83","105","105","true","83","3","25","true","83","0","115","true"
"84","107","105","true","84","3","25","true","84","0","115","true"
"85","109","105","true","85","3","25","true","85","0","115","true"
"86","111","105","true","86","3","25","true","86","0","115","true"
"87","112","105","true","87","3","25","true","87","0","115","true"
"88","115","105","true","88","3","25","true","88","0","115","true"
"89","117","105","true","89","3","25","true","89","0","115","true"
"90","119","105","true","90","3","25","true","90","0","115","true"
"91","120","105","true","91","3","25","true","91","0","115","true"
"92","122","105","true","92","3","25","true","92","0","115","true"
"93","124","105","true","93","3","25","true","93","0","115","true"
"94","126","105","true","94","3","25","true","94","0","115","true"
"95","128","105","true","95","3","25","true","95","0","115","true"
"96","129","105","true","96","3","25","true","96","0","115","true"
"97","131","105","true","97","3","25","true","97","0","115","true"
"98","133","105","true","98","3","25","true","98","0","115","true"
"99","135","105","true","99","3","25","true","99","0","115","true"
"100","136","105","true","100","3","25","true","100","0","115","true"
"101","138","105","true","101","3","25","true","101","0","115","true"
"102","140","105","true","102","3","25","true","102","0","115","true"
"103","142","105","true","103","3","25","true","103","0","115","true"
"104","144","105","true","104","3","25","true","104","0","115","true"
"105","146","105","true","105","3","25","true","105","0","115","true"
"106","147","105","true","106","3","25","true","106","0","115","true"
"107","149","105","true","107","3","25","true","107","0","115","true"
"108","151","105","true","108","3","25","true","108","0","115","true"
"109","152","105","true","109","3","25","true","109","0","115","true"
"110","153","105","true","110","3","25","true","110","0","115","true"
"111","155","105","true","111","3","25","true","111","0","115","true"
"112","156","105","true","112","4","25","true","112","0","115","true"
"113","158","105","true","113","4","25","true","113","0","115","true"
"114","161","105","true","114","4","25","true","114","0","115","true"
"115","162","105","true","115","4","25","true","115","0","115","true"
"116","164","105","true","116","4","25","true","116","0","115","true"
"117","165","105","true","117","4","25","true","117","0","115","true"
"118","168","105","true","118","4","25","true","118","0","115","true"
"119","170","105","true","119","4","25","true","119","0","115","true"
"120","172","105","true","120","4","25","true","120","0","115","true"
"121","173","105","true","121","4","25","true","121","0","115","true"
"122","175","105","true","122","4","25","true","122","0","115","true"
"123","176","105","true","123","4","25","true","123","0","115","true"
"124","178","105","true","124","4","25","true","124","0","115","true"
"125","181","105","true","125","4","25","true","125","0","115","true"
"126","181","105","true","126","4","25","true","126","0","115","true"
"127","182","105","true","127","4","25","true","127","0","115","true"
"128","184","105","true","128","4","25","true","128","0","115","true"
"129","185","105","true","129","4","25","true","129","0","115","true"
"130","187","105","true","130","4","25","true","130","0","115","true"
"131","189","105","true","131","4","25","true","131","0","115","true"
"132","190","105","true","132","4","25","true","132","0","115","true"
"133","192","105","true","133","4","25","true","133","0","115","true"
"134","193","105","true","134","5","25","true","134","0","115","true"
"135","195","105","true","135","6","25","true","135","0","115","true"
"136","195","105","true","136","6","25","true","136","0","115","true"
"137","197","105","true","137","6","25","true","137","0","115","true"
"138","199","105","true","138","6","25","true","138","0","115","true"
"139","200","105","true","139","6","25","true","139","0","115","true"
"140","202","105","true","140","7","25","true","140","0","115","true"
"141","203","105","true","141","7","25","true","141","0","115","true"
"142","204","105","true","142","8","25","true","142","0","115","true"
"143","205","105","true","143","8","25","true","143","0","115","true"
"144","206","105","true","144","8","25","true","144","0","115","true"
"145","208","105","true","145","8","25","true","145","0","115","true"
"146","209","105","true","146","8","25","true","146","0","115","true"
"147","212","105","true","147","8","25","true","147","0","115","true"
"148","214","105","true","148","8","25","true","148","0","115","true"
"149","215","105","true","149","8","25","true","149","0","115","true"
"150","218","105","true","150","8","25","true","150","0","115","true"
"151","220","105","true","151","8","25","true","151","0","115","true"
"152","220","105","true","152","8","25","true","152","0","115","true"
"153","221","105","true","153","8","25","true","153","0","115","true"
"154","222","105","true","154","8","25","true","154","0","115","true"
"155","223","105","true","155","8","25","true","155","0","115","true"
"156","223","105","true","156","8","25","true","156","0","115","true"
"157","224","105","true","157","8","25","true","157","0","115","true"
"158","224","105","true","158","8","25","true","158","0","115","true"
"159","224","105","true","159","8","25","true","159","0","115","true"
"160","224","105","true","160","8","25","true","160","0","115","true"
"161","225","105","true","161","8","25","true","161","0","115","true"
"162","225","105","true","162","8","25","true","162","0","115","true"
"163","226","105","true","163","8","25","true","163","0","115","true"
"164","226","105","true","164","8","25","true","164","0","115","true"
"165","226","105","true","165","9","25","true","165","0","115","true"
"166","226","105","true","166","9","25","true","166","0","115","true"
"167","227","105","true","167","9","25","true","167","0","115","true"
"168","227","105","true","168","9","25","true","168","0","115","true"
"169","227","105","true","169","9","25","true","169","0","115","true"
"170","227","105","true","170","10","25","true","170","0","115","true"
"171","227","105","true","171","12","25","true","171","1","115","true"
"172","227","105","true","172","12","25","true","172","1","115","true"
"173","229","105","true","173","12","25","true","173","1","115","true"
"174","229","105","true","174","13","25","true","174","1","115","true"
"175","229","105","true","175","13","25","true","175","1","115","true"
"176","229","105","true","176","13","25","true","176","1","115","true"
"177","230","105","true","177","13","25","true","177","1","115","true"
"178","231","105","true","178","13","25","true","178","1","115","true"
"179","231","105","true","179","13","25","true","179","1","115","true"
"180","232","105","true","180","14","25","true","180","1","115","true"
"181","232","105","true","181","14","25","true","181","1","115","true"
"182","232","105","true","182","14","25","true","182","1","115","true"
"183","232","105","true","183","14","25","true","183","1","115","true"
"184","232","105","true","184","14","25","true","184","1","115","true"
"185","232","105","true","185","15","25","true","185","1","115","true"
"186","232","105","true","186","15","25","true","186","1","115","true"
"187","232","105","true","187","15","25","true","187","1","115","true"
"188","232","105","true","188","15","25","true","188","1","115","true"
"189","232","105","true","189","15","25","true","189","1","115","true"
"190","232","105","true","190","15","25","true","190","1","115","true"
"191","232","105","true","191","15","25","true","191","1","115","true"
"192","232","105","true","192","15","25","true","192","1","115","true"
"193","232","105","true","193","15","25","true","193","1","115","true"
"194","232","105","true","194","15","25","true","194","1","115","true"
"195","232","105","true","195","15","25","true","195","1","115","true"
"196","232","105","true","196","15","25","true","196","1","115","true"
"197","232","105","true","197","15","25","true","197","1","115","true"
"198","232","105","true","198","15","25","true","198","1","115","true"
"199","233","105","true","199","15","25","true","199","1","115","true"
"200","233","105","true","200","15","25","true","200","1","115","true"
"201","233","105","true","201","15","25","true","201","1","115","true"
"202","233","105","true","202","15","25","true","202","2","115","true"
"203","233","105","true","203","15","25","true","203","2","115","true"
"204","233","105","true","204","15","25","true","204","3","115","true"
"205","233","105","true","205","15","25","true","205","3","115","true"
"206","233","105","true","206","15","25","true","206","3","115","true"
"207","233","105","true","207","15","25","true","207","3","115","true"
"208","233","105","true","208","15","25","true","208","3","115","true"
"209","233","105","true","209","15","25","true","209","3","115","true"
"210","233","105","true","210","15","25","true","210","3","115","true"
"211","233","105","true","211","15","25","true","211","3","115","true"
"212","233","105","true","212","15","25","true","212","3","115","true"
"213","233","105","true","213","15","25","true","213","3","115","true"
"214","233","105","true","214","15","25","true","214","3","115","true"
"215","233","105","true","215","15","25","true","215","3","115","true"
"216","234","105","true","216","15","25","true","216","3","115","true"
"217","234","105","true","217","15","25","true","217","3","115","true"
"218","234","105","true","218","15","25","true","218","3","115","true"
"219","234","105","true","219","15","25","true","219","3","115","true"
"220","234","105","true","220","15","25","true","220","3","115","true"
"221","234","105","true","221","15","25","true","221","3","115","true"
"222","234","105","true","222","15","25","true","222","3","115","true"
"223","234","105","true","223","15","25","true","223","3","115","true"
"224","234","105","true","224","15","25","true","224","3","115","true"
"225","234","105","true","225","15","25","true","225","3","115","true"
"226","234","105","true","226","15","25","true","226","3","115","true"
"227","234","105","true","227","15","25","true","227","3","115","true"
"228","234","105","true","228","15","25","true","228","3","115","true"
"229","234","105","true","229","15","25","true","229","3","115","true"
"230","234","105","true","230","15","25","true","230","3","115","true"
"231","234","105","true","231","15","25","true","231","3","115","true"
"232","234","105","true","232","15","25","true","232","3","115","true"
"233","234","105","true","233","15","25","true","233","3","115","true"
"234","234","105","true","234","15","25","true","234","3","115","true"
"235","234","105","true","235","15","25","true","235","3","115","true"
"236","234","105","true","236","15","25","true","236","3","115","true"
"237","234","105","true","237","15","25","true","237","3","115","true"
"238","234","105","true","238","15","25","true","238","3","115","true"
"239","234","105","true","239","15","25","true","239","3","115","true"
"240","234","105","true","240","15","25","true","240","3","115","true"
"241","234","105","true","241","15","25","true","241","3","115","true"
"242","234","105","true","242","15","25","true","242","3","115","true"
"243","234","105","true","243","15","25","true","243","3","115","true"
"244","234","105","true","244","15","25","true","244","3","115","true"
"245","234","105","true","245","15","25","true","245","3","115","true"
"246","234","105","true","246","15","25","true","246","3","115","true"
"247","234","105","true","247","15","25","true","247","3","115","true"
"248","234","105","true","248","15","25","true","248","3","115","true"
"249","234","105","true","249","15","25","true","249","3","115","true"
"250","234","105","true","250","15","25","true","250","3","115","true"
"251","234","105","true","251","15","25","true","251","3","115","true"
"252","234","105","true","252","15","25","true","252","3","115","true"
"253","234","105","true","253","15","25","true","253","3","115","true"
"254","234","105","true","254","15","25","true","254","3","115","true"
"255","234","105","true","255","15","25","true","255","3","115","true"
"256","234","105","true","256","15","25","true","256","3","115","true"
"257","234","105","true","257","15","25","true","257","3","115","true"
"258","234","105","true","258","15","25","true","258","3","115","true"
"259","234","105","true","259","15","25","true","259","3","115","true"
"260","234","105","true","260","15","25","true","260","3","115","true"
"261","234","105","true","261","15","25","true","261","3","115","true"
"262","234","105","true","262","15","25","true","262","3","115","true"
"263","234","105","true","263","15","25","true","263","3","115","true"
"264","234","105","true","264","15","25","true","264","3","115","true"
"265","234","105","true","265","15","25","true","265","3","115","true"
"266","234","105","true","266","15","25","true","266","3","115","true"
"267","234","105","true","267","15","25","true","267","3","115","true"
"268","234","105","true","268","15","25","true","268","3","115","true"
"269","234","105","true","269","15","25","true","269","3","115","true"
"270","234","105","true","270","15","25","true","270","3","115","true"
"271","234","105","true","271","15","25","true","271","3","115","true"
"272","234","105","true","272","15","25","true","272","3","115","true"
"273","234","105","true","273","15","25","true","273","3","115","true"
"274","234","105","true","274","15","25","true","274","3","115","true"
"275","234","105","true","275","15","25","true","275","3","115","true"
"276","234","105","true","276","15","25","true","276","3","115","true"
