"export-plot data (NetLogo 7.0.4)"
"evacuacao_incendio.nlogo"
"06/07/2026 22:25:02:612 -0300"

"MODEL SETTINGS"
"percent-idosos","coef-calor","linha-incendio","beta-saude","gamma-fadiga","lambda-fumaca","peso-fumaca","percent-pcd","andar-incendio","max-ticks","coef-co2","peso-calor","numero-ocupantes","peso-congestao","coef-co","coluna-incendio"
"15","0.004","10","1","0.4","1.5","20","5","5","8000","0.002","15","300","3","0.003","10"

"""Fumaca e Temp. medias"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","300","0","1","true","""fumaca""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""fumaca""","true","0","1","5","288"
"""temp norm.""","true","0","1","15","288"

"""fumaca""",,,,"""temp norm."""
"x","y","color","pen down?","x","y","color","pen down?"
"0","1.0783996549121104E-4","5","true","0","0.041770013300262414","15","true"
"1","2.5860023724792405E-4","5","true","1","0.041873256587224565","15","true"
"2","4.8173151919551395E-4","5","true","2","0.04200862789454825","15","true"
"3","8.192048333197215E-4","5","true","3","0.04217505664318741","15","true"
"4","0.0012944737132691002","5","true","4","0.04237357375261538","15","true"
"5","0.0019329286080311445","5","true","5","0.042605971880552145","15","true"
"6","0.002768038819007258","5","true","6","0.04287415768369445","15","true"
"7","0.0038388852042596294","5","true","7","0.04317986659156921","15","true"
"8","0.005159935236620988","5","true","8","0.04352456154030383","15","true"
"9","0.00673281907886858","5","true","9","0.04390941989213119","15","true"
"10","0.008564753276422293","5","true","10","0.044335356699930134","15","true"
"11","0.010648164608298392","5","true","11","0.04480305519081403","15","true"
"12","0.012984345052915772","5","true","12","0.045312987514208106","15","true"
"13","0.015554326901488658","5","true","13","0.04586541635855756","15","true"
"14","0.018322797528932","5","true","14","0.04646037375571429","15","true"
"15","0.021179170979161357","5","true","15","0.04709761816351741","15","true"
"16","0.023960532800982145","5","true","16","0.04777657475141155","15","true"
"17","0.026474950644198608","5","true","17","0.04849626645780435","15","true"
"18","0.028581931247647546","5","true","18","0.04925524467444528","15","true"
"19","0.030232133033218648","5","true","19","0.050051528393708085","15","true"
"20","0.03144698012087908","5","true","20","0.05088255958406078","15","true"
"21","0.032284580835647066","5","true","21","0.05174518080153953","15","true"
"22","0.03281646167471021","5","true","22","0.05263563896450346","15","true"
"23","0.033136708091943384","5","true","23","0.053549617099555934","15","true"
"24","0.033360503063247275","5","true","24","0.05448229388492462","15","true"
"25","0.0336051032635882","5","true","25","0.055428429059222316","15","true"
"26","0.03396864899174068","5","true","26","0.0563824712615155","15","true"
"27","0.0345085904889321","5","true","27","0.05733868364201842","15","true"
"28","0.03530866422081312","5","true","28","0.05829128165859894","15","true"
"29","0.036454376657100745","5","true","29","0.05923457689060971","15","true"
"30","0.0380290586455174","5","true","30","0.060163120495464344","15","true"
"31","0.040113222436169264","5","true","31","0.06107184012414886","15","true"
"32","0.042778098107045436","5","true","32","0.06195616468697816","15","true"
"33","0.046106051644341624","5","true","33","0.06281213227045052","15","true"
"34","0.05017079358968074","5","true","34","0.06363647766630909","15","true"
"35","0.05503935001475043","5","true","35","0.06442669727858788","15","true"
"36","0.06078913065109347","5","true","36","0.06518109050946307","15","true"
"37","0.06747029569654361","5","true","37","0.06589877798328816","15","true"
"38","0.07512490521959231","5","true","38","0.0665796980626154","15","true"
"39","0.08373738212956544","5","true","39","0.06722458397922154","15","true"
"40","0.09326175579212521","5","true","40","0.0678349245153288","15","true"
"41","0.10366955291055352","5","true","41","0.0684129115209169","15","true"
"42","0.11490939615401193","5","true","42","0.06896137766074413","15","true"
"43","0.12696448386686504","5","true","43","0.06948372768425491","15","true"
"44","0.13979524062958876","5","true","44","0.06998386624758061","15","true"
"45","0.15336537867935285","5","true","45","0.070466124937481","15","true"
"46","0.16768927921123605","5","true","46","0.07093519069903292","15","true"
"47","0.18277500652670045","5","true","47","0.07139603739381538","15","true"
"48","0.19861332298597997","5","true","48","0.0718538617477176","15","true"
"49","0.21518359058323272","5","true","49","0.0723140245136236","15","true"
"50","0.23248568902984024","5","true","50","0.07278199729228216","15","true"
"51","0.25056107447812076","5","true","51","0.07326331513542596","15","true"
"52","0.2694262206771323","5","true","52","0.07376353480304186","15","true"
