"export-plot data (NetLogo 7.0.4)"
"evacuacao_incendio.nlogo"
"06/07/2026 22:35:15:406 -0300"

"MODEL SETTINGS"
"percent-idosos","coef-calor","linha-incendio","beta-saude","gamma-fadiga","lambda-fumaca","peso-fumaca","percent-pcd","andar-incendio","max-ticks","coef-co2","peso-calor","numero-ocupantes","peso-congestao","coef-co","coluna-incendio"
"40","0.005","10","1.25","0.6","2","30","15","25","8000","0.003","25","300","5","0.004","10"

"""Evacuacao x Tempo"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","320","0","300","true","""Evacuados""","true","3"

"pen name","pen down?","mode","interval","color","x"
"""Evacuados""","true","0","1","65","318"
"""Mortos""","true","0","1","15","318"
"""Ativos""","true","0","1","105","318"

"""Evacuados""",,,,"""Mortos""",,,,"""Ativos"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","65","true","0","0","15","true","0","300","105","true"
"1","0","65","true","1","0","15","true","1","300","105","true"
"2","1","65","true","2","0","15","true","2","299","105","true"
"3","1","65","true","3","0","15","true","3","299","105","true"
"4","1","65","true","4","0","15","true","4","299","105","true"
"5","1","65","true","5","0","15","true","5","299","105","true"
"6","2","65","true","6","0","15","true","6","298","105","true"
"7","2","65","true","7","0","15","true","7","298","105","true"
"8","4","65","true","8","0","15","true","8","296","105","true"
"9","4","65","true","9","0","15","true","9","296","105","true"
"10","4","65","true","10","0","15","true","10","296","105","true"
"11","4","65","true","11","0","15","true","11","296","105","true"
"12","4","65","true","12","0","15","true","12","296","105","true"
"13","4","65","true","13","0","15","true","13","296","105","true"
"14","4","65","true","14","0","15","true","14","296","105","true"
"15","5","65","true","15","0","15","true","15","295","105","true"
"16","5","65","true","16","0","15","true","16","295","105","true"
"17","6","65","true","17","0","15","true","17","294","105","true"
"18","6","65","true","18","0","15","true","18","294","105","true"
"19","7","65","true","19","0","15","true","19","293","105","true"
"20","7","65","true","20","0","15","true","20","293","105","true"
"21","7","65","true","21","0","15","true","21","293","105","true"
"22","7","65","true","22","0","15","true","22","293","105","true"
"23","7","65","true","23","0","15","true","23","293","105","true"
"24","7","65","true","24","0","15","true","24","293","105","true"
"25","8","65","true","25","0","15","true","25","292","105","true"
"26","8","65","true","26","2","15","true","26","290","105","true"
"27","8","65","true","27","2","15","true","27","290","105","true"
"28","9","65","true","28","2","15","true","28","289","105","true"
"29","9","65","true","29","2","15","true","29","289","105","true"
"30","10","65","true","30","2","15","true","30","288","105","true"
"31","10","65","true","31","2","15","true","31","288","105","true"
"32","11","65","true","32","2","15","true","32","287","105","true"
"33","12","65","true","33","2","15","true","33","286","105","true"
"34","13","65","true","34","3","15","true","34","284","105","true"
"35","16","65","true","35","4","15","true","35","280","105","true"
"36","16","65","true","36","6","15","true","36","278","105","true"
"37","17","65","true","37","6","15","true","37","277","105","true"
"38","19","65","true","38","6","15","true","38","275","105","true"
"39","20","65","true","39","6","15","true","39","274","105","true"
"40","22","65","true","40","6","15","true","40","272","105","true"
"41","23","65","true","41","6","15","true","41","271","105","true"
"42","25","65","true","42","6","15","true","42","269","105","true"
"43","26","65","true","43","6","15","true","43","268","105","true"
"44","27","65","true","44","6","15","true","44","267","105","true"
"45","28","65","true","45","6","15","true","45","266","105","true"
"46","30","65","true","46","6","15","true","46","264","105","true"
"47","31","65","true","47","6","15","true","47","263","105","true"
"48","34","65","true","48","6","15","true","48","260","105","true"
"49","36","65","true","49","6","15","true","49","258","105","true"
"50","39","65","true","50","6","15","true","50","255","105","true"
"51","41","65","true","51","6","15","true","51","253","105","true"
"52","42","65","true","52","6","15","true","52","252","105","true"
"53","43","65","true","53","6","15","true","53","251","105","true"
"54","45","65","true","54","7","15","true","54","248","105","true"
"55","45","65","true","55","7","15","true","55","248","105","true"
"56","47","65","true","56","7","15","true","56","246","105","true"
"57","49","65","true","57","7","15","true","57","244","105","true"
"58","50","65","true","58","7","15","true","58","243","105","true"
"59","50","65","true","59","7","15","true","59","243","105","true"
"60","52","65","true","60","7","15","true","60","241","105","true"
"61","52","65","true","61","7","15","true","61","241","105","true"
"62","54","65","true","62","7","15","true","62","239","105","true"
"63","56","65","true","63","7","15","true","63","237","105","true"
"64","58","65","true","64","8","15","true","64","234","105","true"
"65","59","65","true","65","8","15","true","65","233","105","true"
"66","60","65","true","66","8","15","true","66","232","105","true"
"67","61","65","true","67","8","15","true","67","231","105","true"
"68","62","65","true","68","9","15","true","68","229","105","true"
"69","62","65","true","69","11","15","true","69","227","105","true"
"70","64","65","true","70","11","15","true","70","225","105","true"
"71","65","65","true","71","11","15","true","71","224","105","true"
"72","65","65","true","72","11","15","true","72","224","105","true"
"73","67","65","true","73","11","15","true","73","222","105","true"
"74","69","65","true","74","12","15","true","74","219","105","true"
"75","72","65","true","75","12","15","true","75","216","105","true"
"76","73","65","true","76","13","15","true","76","214","105","true"
"77","75","65","true","77","13","15","true","77","212","105","true"
"78","77","65","true","78","13","15","true","78","210","105","true"
"79","78","65","true","79","13","15","true","79","209","105","true"
"80","78","65","true","80","13","15","true","80","209","105","true"
"81","80","65","true","81","13","15","true","81","207","105","true"
"82","81","65","true","82","13","15","true","82","206","105","true"
"83","84","65","true","83","13","15","true","83","203","105","true"
"84","84","65","true","84","13","15","true","84","203","105","true"
"85","86","65","true","85","13","15","true","85","201","105","true"
"86","86","65","true","86","13","15","true","86","201","105","true"
"87","88","65","true","87","13","15","true","87","199","105","true"
"88","88","65","true","88","14","15","true","88","198","105","true"
"89","88","65","true","89","14","15","true","89","198","105","true"
"90","90","65","true","90","15","15","true","90","195","105","true"
"91","91","65","true","91","15","15","true","91","194","105","true"
"92","94","65","true","92","15","15","true","92","191","105","true"
"93","95","65","true","93","16","15","true","93","189","105","true"
"94","97","65","true","94","16","15","true","94","187","105","true"
"95","98","65","true","95","16","15","true","95","186","105","true"
"96","99","65","true","96","16","15","true","96","185","105","true"
"97","100","65","true","97","16","15","true","97","184","105","true"
"98","100","65","true","98","16","15","true","98","184","105","true"
"99","102","65","true","99","16","15","true","99","182","105","true"
"100","102","65","true","100","16","15","true","100","182","105","true"
"101","104","65","true","101","16","15","true","101","180","105","true"
"102","106","65","true","102","16","15","true","102","178","105","true"
"103","106","65","true","103","16","15","true","103","178","105","true"
"104","109","65","true","104","16","15","true","104","175","105","true"
"105","109","65","true","105","16","15","true","105","175","105","true"
"106","110","65","true","106","16","15","true","106","174","105","true"
"107","110","65","true","107","16","15","true","107","174","105","true"
"108","113","65","true","108","16","15","true","108","171","105","true"
"109","114","65","true","109","16","15","true","109","170","105","true"
"110","117","65","true","110","16","15","true","110","167","105","true"
"111","117","65","true","111","16","15","true","111","167","105","true"
"112","118","65","true","112","16","15","true","112","166","105","true"
"113","118","65","true","113","16","15","true","113","166","105","true"
"114","119","65","true","114","16","15","true","114","165","105","true"
"115","121","65","true","115","16","15","true","115","163","105","true"
"116","123","65","true","116","16","15","true","116","161","105","true"
"117","124","65","true","117","16","15","true","117","160","105","true"
"118","126","65","true","118","16","15","true","118","158","105","true"
"119","127","65","true","119","16","15","true","119","157","105","true"
"120","127","65","true","120","16","15","true","120","157","105","true"
"121","127","65","true","121","16","15","true","121","157","105","true"
"122","128","65","true","122","16","15","true","122","156","105","true"
"123","128","65","true","123","16","15","true","123","156","105","true"
"124","129","65","true","124","16","15","true","124","155","105","true"
"125","131","65","true","125","16","15","true","125","153","105","true"
"126","131","65","true","126","16","15","true","126","153","105","true"
"127","132","65","true","127","16","15","true","127","152","105","true"
"128","133","65","true","128","16","15","true","128","151","105","true"
"129","133","65","true","129","16","15","true","129","151","105","true"
"130","134","65","true","130","16","15","true","130","150","105","true"
"131","136","65","true","131","16","15","true","131","148","105","true"
"132","136","65","true","132","16","15","true","132","148","105","true"
"133","137","65","true","133","16","15","true","133","147","105","true"
"134","138","65","true","134","16","15","true","134","146","105","true"
"135","139","65","true","135","16","15","true","135","145","105","true"
