"export-plot data (NetLogo 7.0.4)"
"evacuacao_incendio.nlogo"
"06/07/2026 22:35:25:918 -0300"

"MODEL SETTINGS"
"percent-idosos","coef-calor","linha-incendio","beta-saude","gamma-fadiga","lambda-fumaca","peso-fumaca","percent-pcd","andar-incendio","max-ticks","coef-co2","peso-calor","numero-ocupantes","peso-congestao","coef-co","coluna-incendio"
"40","0.005","10","1.25","0.6","2","30","15","25","8000","0.003","25","300","5","0.004","10"

"""Evacuados por perfil"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","320","0","140","true","""Adulto""","true","3"

"pen name","pen down?","mode","interval","color","x"
"""Adulto""","true","0","1","105","318"
"""Idoso""","true","0","1","25","318"
"""PcD""","true","0","1","115","318"

"""Adulto""",,,,"""Idoso""",,,,"""PcD"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","105","true","0","0","25","true","0","0","115","true"
"1","0","105","true","1","0","25","true","1","0","115","true"
"2","0","105","true","2","1","25","true","2","0","115","true"
"3","0","105","true","3","1","25","true","3","0","115","true"
"4","0","105","true","4","1","25","true","4","0","115","true"
"5","0","105","true","5","1","25","true","5","0","115","true"
"6","0","105","true","6","1","25","true","6","1","115","true"
"7","0","105","true","7","1","25","true","7","1","115","true"
"8","1","105","true","8","2","25","true","8","1","115","true"
"9","1","105","true","9","2","25","true","9","1","115","true"
"10","1","105","true","10","2","25","true","10","1","115","true"
"11","1","105","true","11","2","25","true","11","1","115","true"
"12","1","105","true","12","2","25","true","12","1","115","true"
"13","1","105","true","13","2","25","true","13","1","115","true"
"14","1","105","true","14","2","25","true","14","1","115","true"
"15","1","105","true","15","3","25","true","15","1","115","true"
"16","1","105","true","16","3","25","true","16","1","115","true"
"17","2","105","true","17","3","25","true","17","1","115","true"
"18","2","105","true","18","3","25","true","18","1","115","true"
"19","2","105","true","19","4","25","true","19","1","115","true"
"20","2","105","true","20","4","25","true","20","1","115","true"
"21","2","105","true","21","4","25","true","21","1","115","true"
"22","2","105","true","22","4","25","true","22","1","115","true"
"23","2","105","true","23","4","25","true","23","1","115","true"
"24","2","105","true","24","4","25","true","24","1","115","true"
"25","2","105","true","25","5","25","true","25","1","115","true"
"26","2","105","true","26","5","25","true","26","1","115","true"
"27","2","105","true","27","5","25","true","27","1","115","true"
"28","2","105","true","28","5","25","true","28","2","115","true"
"29","2","105","true","29","5","25","true","29","2","115","true"
"30","3","105","true","30","5","25","true","30","2","115","true"
"31","3","105","true","31","5","25","true","31","2","115","true"
"32","4","105","true","32","5","25","true","32","2","115","true"
"33","5","105","true","33","5","25","true","33","2","115","true"
"34","6","105","true","34","5","25","true","34","2","115","true"
"35","8","105","true","35","6","25","true","35","2","115","true"
"36","8","105","true","36","6","25","true","36","2","115","true"
"37","9","105","true","37","6","25","true","37","2","115","true"
"38","11","105","true","38","6","25","true","38","2","115","true"
"39","12","105","true","39","6","25","true","39","2","115","true"
"40","13","105","true","40","7","25","true","40","2","115","true"
"41","14","105","true","41","7","25","true","41","2","115","true"
"42","16","105","true","42","7","25","true","42","2","115","true"
"43","17","105","true","43","7","25","true","43","2","115","true"
"44","18","105","true","44","7","25","true","44","2","115","true"
"45","19","105","true","45","7","25","true","45","2","115","true"
"46","21","105","true","46","7","25","true","46","2","115","true"
"47","22","105","true","47","7","25","true","47","2","115","true"
"48","25","105","true","48","7","25","true","48","2","115","true"
"49","27","105","true","49","7","25","true","49","2","115","true"
"50","30","105","true","50","7","25","true","50","2","115","true"
"51","32","105","true","51","7","25","true","51","2","115","true"
"52","33","105","true","52","7","25","true","52","2","115","true"
"53","34","105","true","53","7","25","true","53","2","115","true"
"54","35","105","true","54","8","25","true","54","2","115","true"
"55","35","105","true","55","8","25","true","55","2","115","true"
"56","37","105","true","56","8","25","true","56","2","115","true"
"57","39","105","true","57","8","25","true","57","2","115","true"
"58","40","105","true","58","8","25","true","58","2","115","true"
"59","40","105","true","59","8","25","true","59","2","115","true"
"60","42","105","true","60","8","25","true","60","2","115","true"
"61","42","105","true","61","8","25","true","61","2","115","true"
"62","43","105","true","62","9","25","true","62","2","115","true"
"63","44","105","true","63","10","25","true","63","2","115","true"
"64","46","105","true","64","10","25","true","64","2","115","true"
"65","47","105","true","65","10","25","true","65","2","115","true"
"66","48","105","true","66","10","25","true","66","2","115","true"
"67","48","105","true","67","11","25","true","67","2","115","true"
"68","49","105","true","68","11","25","true","68","2","115","true"
"69","49","105","true","69","11","25","true","69","2","115","true"
"70","50","105","true","70","12","25","true","70","2","115","true"
"71","51","105","true","71","12","25","true","71","2","115","true"
"72","51","105","true","72","12","25","true","72","2","115","true"
"73","51","105","true","73","13","25","true","73","3","115","true"
"74","52","105","true","74","14","25","true","74","3","115","true"
"75","55","105","true","75","14","25","true","75","3","115","true"
"76","56","105","true","76","14","25","true","76","3","115","true"
"77","57","105","true","77","15","25","true","77","3","115","true"
"78","59","105","true","78","15","25","true","78","3","115","true"
"79","60","105","true","79","15","25","true","79","3","115","true"
"80","60","105","true","80","15","25","true","80","3","115","true"
"81","61","105","true","81","16","25","true","81","3","115","true"
"82","62","105","true","82","16","25","true","82","3","115","true"
"83","64","105","true","83","17","25","true","83","3","115","true"
"84","64","105","true","84","17","25","true","84","3","115","true"
"85","65","105","true","85","18","25","true","85","3","115","true"
"86","65","105","true","86","18","25","true","86","3","115","true"
"87","66","105","true","87","19","25","true","87","3","115","true"
"88","66","105","true","88","19","25","true","88","3","115","true"
"89","66","105","true","89","19","25","true","89","3","115","true"
"90","67","105","true","90","20","25","true","90","3","115","true"
"91","67","105","true","91","21","25","true","91","3","115","true"
"92","68","105","true","92","23","25","true","92","3","115","true"
"93","69","105","true","93","23","25","true","93","3","115","true"
"94","71","105","true","94","23","25","true","94","3","115","true"
"95","72","105","true","95","23","25","true","95","3","115","true"
"96","73","105","true","96","23","25","true","96","3","115","true"
"97","74","105","true","97","23","25","true","97","3","115","true"
"98","74","105","true","98","23","25","true","98","3","115","true"
"99","75","105","true","99","24","25","true","99","3","115","true"
"100","75","105","true","100","24","25","true","100","3","115","true"
"101","76","105","true","101","24","25","true","101","4","115","true"
"102","76","105","true","102","26","25","true","102","4","115","true"
"103","76","105","true","103","26","25","true","103","4","115","true"
"104","78","105","true","104","27","25","true","104","4","115","true"
"105","78","105","true","105","27","25","true","105","4","115","true"
"106","79","105","true","106","27","25","true","106","4","115","true"
"107","79","105","true","107","27","25","true","107","4","115","true"
"108","81","105","true","108","28","25","true","108","4","115","true"
"109","82","105","true","109","28","25","true","109","4","115","true"
"110","85","105","true","110","28","25","true","110","4","115","true"
"111","85","105","true","111","28","25","true","111","4","115","true"
"112","86","105","true","112","28","25","true","112","4","115","true"
"113","86","105","true","113","28","25","true","113","4","115","true"
"114","86","105","true","114","29","25","true","114","4","115","true"
"115","86","105","true","115","30","25","true","115","5","115","true"
"116","86","105","true","116","31","25","true","116","6","115","true"
"117","87","105","true","117","31","25","true","117","6","115","true"
"118","88","105","true","118","32","25","true","118","6","115","true"
"119","88","105","true","119","33","25","true","119","6","115","true"
"120","88","105","true","120","33","25","true","120","6","115","true"
"121","88","105","true","121","33","25","true","121","6","115","true"
"122","88","105","true","122","34","25","true","122","6","115","true"
"123","88","105","true","123","34","25","true","123","6","115","true"
"124","89","105","true","124","34","25","true","124","6","115","true"
"125","90","105","true","125","35","25","true","125","6","115","true"
"126","90","105","true","126","35","25","true","126","6","115","true"
"127","91","105","true","127","35","25","true","127","6","115","true"
"128","91","105","true","128","35","25","true","128","7","115","true"
"129","91","105","true","129","35","25","true","129","7","115","true"
"130","91","105","true","130","36","25","true","130","7","115","true"
"131","91","105","true","131","37","25","true","131","8","115","true"
"132","91","105","true","132","37","25","true","132","8","115","true"
"133","92","105","true","133","37","25","true","133","8","115","true"
"134","93","105","true","134","37","25","true","134","8","115","true"
"135","93","105","true","135","38","25","true","135","8","115","true"
"136","93","105","true","136","38","25","true","136","8","115","true"
"137","93","105","true","137","39","25","true","137","8","115","true"
"138","93","105","true","138","40","25","true","138","8","115","true"
"139","93","105","true","139","40","25","true","139","8","115","true"
"140","93","105","true","140","41","25","true","140","8","115","true"
"141","93","105","true","141","41","25","true","141","8","115","true"
"142","94","105","true","142","41","25","true","142","9","115","true"
"143","94","105","true","143","41","25","true","143","9","115","true"
"144","95","105","true","144","41","25","true","144","9","115","true"
"145","95","105","true","145","42","25","true","145","9","115","true"
"146","95","105","true","146","43","25","true","146","9","115","true"
"147","95","105","true","147","43","25","true","147","10","115","true"
"148","95","105","true","148","45","25","true","148","10","115","true"
"149","95","105","true","149","45","25","true","149","10","115","true"
"150","95","105","true","150","45","25","true","150","11","115","true"
"151","95","105","true","151","46","25","true","151","11","115","true"
"152","96","105","true","152","47","25","true","152","12","115","true"
"153","96","105","true","153","47","25","true","153","12","115","true"
"154","97","105","true","154","48","25","true","154","12","115","true"
"155","98","105","true","155","48","25","true","155","13","115","true"
"156","99","105","true","156","48","25","true","156","13","115","true"
"157","100","105","true","157","49","25","true","157","13","115","true"
"158","102","105","true","158","49","25","true","158","13","115","true"
"159","102","105","true","159","49","25","true","159","13","115","true"
"160","102","105","true","160","49","25","true","160","13","115","true"
"161","103","105","true","161","51","25","true","161","13","115","true"
"162","103","105","true","162","52","25","true","162","13","115","true"
"163","103","105","true","163","53","25","true","163","13","115","true"
"164","103","105","true","164","54","25","true","164","13","115","true"
"165","105","105","true","165","55","25","true","165","13","115","true"
"166","105","105","true","166","56","25","true","166","13","115","true"
"167","105","105","true","167","57","25","true","167","13","115","true"
"168","106","105","true","168","57","25","true","168","13","115","true"
"169","107","105","true","169","57","25","true","169","13","115","true"
"170","108","105","true","170","59","25","true","170","13","115","true"
"171","109","105","true","171","59","25","true","171","13","115","true"
"172","109","105","true","172","59","25","true","172","13","115","true"
"173","109","105","true","173","60","25","true","173","13","115","true"
"174","109","105","true","174","61","25","true","174","14","115","true"
"175","109","105","true","175","61","25","true","175","14","115","true"
"176","109","105","true","176","64","25","true","176","14","115","true"
"177","109","105","true","177","64","25","true","177","14","115","true"
"178","110","105","true","178","64","25","true","178","14","115","true"
"179","110","105","true","179","66","25","true","179","14","115","true"
"180","110","105","true","180","66","25","true","180","14","115","true"
"181","110","105","true","181","66","25","true","181","14","115","true"
"182","110","105","true","182","67","25","true","182","14","115","true"
"183","110","105","true","183","67","25","true","183","15","115","true"
"184","110","105","true","184","67","25","true","184","15","115","true"
"185","110","105","true","185","67","25","true","185","15","115","true"
"186","110","105","true","186","68","25","true","186","15","115","true"
"187","111","105","true","187","69","25","true","187","15","115","true"
"188","111","105","true","188","69","25","true","188","15","115","true"
"189","111","105","true","189","69","25","true","189","15","115","true"
"190","111","105","true","190","71","25","true","190","15","115","true"
"191","111","105","true","191","72","25","true","191","15","115","true"
"192","112","105","true","192","73","25","true","192","15","115","true"
"193","112","105","true","193","73","25","true","193","15","115","true"
"194","112","105","true","194","75","25","true","194","15","115","true"
"195","112","105","true","195","75","25","true","195","16","115","true"
"196","112","105","true","196","76","25","true","196","16","115","true"
"197","112","105","true","197","77","25","true","197","17","115","true"
"198","112","105","true","198","77","25","true","198","17","115","true"
"199","112","105","true","199","78","25","true","199","17","115","true"
"200","113","105","true","200","78","25","true","200","17","115","true"
"201","113","105","true","201","79","25","true","201","17","115","true"
"202","113","105","true","202","79","25","true","202","17","115","true"
"203","113","105","true","203","79","25","true","203","17","115","true"
"204","113","105","true","204","82","25","true","204","17","115","true"
"205","113","105","true","205","82","25","true","205","17","115","true"
"206","114","105","true","206","82","25","true","206","17","115","true"
"207","114","105","true","207","82","25","true","207","17","115","true"
"208","114","105","true","208","83","25","true","208","18","115","true"
"209","115","105","true","209","83","25","true","209","19","115","true"
"210","115","105","true","210","83","25","true","210","19","115","true"
"211","115","105","true","211","84","25","true","211","19","115","true"
"212","115","105","true","212","84","25","true","212","19","115","true"
"213","115","105","true","213","84","25","true","213","20","115","true"
"214","115","105","true","214","84","25","true","214","20","115","true"
"215","116","105","true","215","85","25","true","215","20","115","true"
"216","116","105","true","216","86","25","true","216","20","115","true"
"217","116","105","true","217","87","25","true","217","20","115","true"
"218","116","105","true","218","88","25","true","218","20","115","true"
"219","116","105","true","219","88","25","true","219","20","115","true"
"220","116","105","true","220","88","25","true","220","21","115","true"
"221","116","105","true","221","89","25","true","221","21","115","true"
"222","116","105","true","222","90","25","true","222","21","115","true"
"223","116","105","true","223","91","25","true","223","21","115","true"
"224","116","105","true","224","91","25","true","224","22","115","true"
"225","116","105","true","225","92","25","true","225","22","115","true"
"226","116","105","true","226","92","25","true","226","22","115","true"
"227","116","105","true","227","93","25","true","227","22","115","true"
"228","116","105","true","228","93","25","true","228","22","115","true"
"229","116","105","true","229","93","25","true","229","23","115","true"
"230","116","105","true","230","93","25","true","230","23","115","true"
"231","116","105","true","231","93","25","true","231","23","115","true"
"232","116","105","true","232","94","25","true","232","25","115","true"
"233","116","105","true","233","94","25","true","233","25","115","true"
"234","116","105","true","234","95","25","true","234","25","115","true"
"235","116","105","true","235","95","25","true","235","25","115","true"
"236","116","105","true","236","95","25","true","236","26","115","true"
"237","116","105","true","237","95","25","true","237","26","115","true"
"238","116","105","true","238","97","25","true","238","26","115","true"
"239","116","105","true","239","98","25","true","239","26","115","true"
"240","116","105","true","240","98","25","true","240","26","115","true"
"241","116","105","true","241","99","25","true","241","26","115","true"
"242","116","105","true","242","99","25","true","242","26","115","true"
"243","116","105","true","243","100","25","true","243","26","115","true"
"244","116","105","true","244","101","25","true","244","26","115","true"
"245","116","105","true","245","101","25","true","245","27","115","true"
"246","116","105","true","246","101","25","true","246","27","115","true"
"247","116","105","true","247","101","25","true","247","29","115","true"
"248","116","105","true","248","101","25","true","248","30","115","true"
"249","116","105","true","249","102","25","true","249","30","115","true"
"250","116","105","true","250","104","25","true","250","30","115","true"
"251","116","105","true","251","105","25","true","251","30","115","true"
"252","116","105","true","252","105","25","true","252","30","115","true"
"253","116","105","true","253","105","25","true","253","31","115","true"
"254","116","105","true","254","105","25","true","254","31","115","true"
"255","116","105","true","255","106","25","true","255","32","115","true"
"256","117","105","true","256","106","25","true","256","32","115","true"
"257","117","105","true","257","107","25","true","257","32","115","true"
"258","117","105","true","258","107","25","true","258","33","115","true"
"259","117","105","true","259","108","25","true","259","33","115","true"
"260","117","105","true","260","110","25","true","260","33","115","true"
"261","117","105","true","261","111","25","true","261","33","115","true"
"262","117","105","true","262","111","25","true","262","33","115","true"
"263","117","105","true","263","111","25","true","263","33","115","true"
"264","117","105","true","264","111","25","true","264","33","115","true"
"265","117","105","true","265","112","25","true","265","33","115","true"
"266","117","105","true","266","112","25","true","266","33","115","true"
"267","117","105","true","267","113","25","true","267","34","115","true"
"268","117","105","true","268","113","25","true","268","35","115","true"
"269","117","105","true","269","114","25","true","269","35","115","true"
"270","117","105","true","270","114","25","true","270","35","115","true"
"271","117","105","true","271","114","25","true","271","35","115","true"
"272","117","105","true","272","114","25","true","272","36","115","true"
"273","117","105","true","273","114","25","true","273","37","115","true"
"274","117","105","true","274","115","25","true","274","37","115","true"
"275","117","105","true","275","115","25","true","275","38","115","true"
"276","117","105","true","276","116","25","true","276","38","115","true"
