"export-plot data (NetLogo 7.0.4)"
"evacuacao_incendio.nlogo"
"06/07/2026 22:35:22:403 -0300"

"MODEL SETTINGS"
"percent-idosos","coef-calor","linha-incendio","beta-saude","gamma-fadiga","lambda-fumaca","peso-fumaca","percent-pcd","andar-incendio","max-ticks","coef-co2","peso-calor","numero-ocupantes","peso-congestao","coef-co","coluna-incendio"
"40","0.005","10","1.25","0.6","2","30","15","25","8000","0.003","25","300","5","0.004","10"

"""Fumaca e Temp. medias"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","320","0","1","true","""fumaca""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""fumaca""","true","0","1","5","318"
"""temp norm.""","true","0","1","15","318"

"""fumaca""",,,,"""temp norm."""
"x","y","color","pen down?","x","y","color","pen down?"
"0","1.0783996549121104E-4","5","true","0","0.041770013300262414","15","true"
"1","2.5860023724792405E-4","5","true","1","0.041873256587224565","15","true"
"2","4.8173151919551384E-4","5","true","2","0.04200862789454825","15","true"
"3","8.192048333197216E-4","5","true","3","0.0421750566431874","15","true"
"4","0.0012944737132691004","5","true","4","0.042373573752615364","15","true"
"5","0.001932928608031144","5","true","5","0.042605971880552145","15","true"
"6","0.0027680388190072587","5","true","6","0.04287415768369445","15","true"
"7","0.0038388852042596294","5","true","7","0.04317986659156921","15","true"
"8","0.0051599352366209885","5","true","8","0.04352456154030383","15","true"
"9","0.006732819078868581","5","true","9","0.043909419892131187","15","true"
"10","0.0085647532764223","5","true","10","0.044335356699930134","15","true"
"11","0.010648164608298405","5","true","11","0.04480305519081403","15","true"
"12","0.012984345052915767","5","true","12","0.04531298751420809","15","true"
"13","0.015554326901488651","5","true","13","0.04586541635855756","15","true"
"14","0.018322797528932004","5","true","14","0.04646037375571428","15","true"
"15","0.02117917097916135","5","true","15","0.04709761816351739","15","true"
"16","0.023960532800982138","5","true","16","0.04777657475141158","15","true"
"17","0.026474950644198605","5","true","17","0.04849626645780435","15","true"
"18","0.028581931247647546","5","true","18","0.049255244674424915","15","true"
"19","0.030232133033218662","5","true","19","0.05005152839338501","15","true"
"20","0.03144698012087909","5","true","20","0.050882559581381985","15","true"
"21","0.03228458083564708","5","true","21","0.05174518078609398","15","true"
"22","0.03281641102834827","5","true","22","0.05263563889492959","15","true"
"23","0.03313611251882116","5","true","23","0.05354961683874363","15","true"
"24","0.03335758945961285","5","true","24","0.05448229303839634","15","true"
"25","0.033593727172185076","5","true","25","0.05542842661510192","15","true"
"26","0.03393273237003364","5","true","26","0.05638246486033711","15","true"
"27","0.03440702509897504","5","true","27","0.05733866820881685","15","true"
"28","0.03505943832036096","5","true","28","0.05829124700921164","15","true"
"29","0.0359180840520134","5","true","29","0.059234503783941635","15","true"
"30","0.03703893584479666","5","true","30","0.06016297445276001","15","true"
"31","0.03843014399238065","5","true","31","0.06107156218748436","15","true"
"32","0.040082425812106894","5","true","32","0.0619556581565275","15","true"
"33","0.041995853209508355","5","true","33","0.06281124435798262","15","true"
"34","0.044160480952160616","5","true","34","0.06363497494354316","15","true"
"35","0.04657067513725607","5","true","35","0.06442423379295172","15","true"
"36","0.04922332899151126","5","true","36","0.06517716749167754","15","true"
"37","0.05210579153971245","5","true","37","0.06589269418151993","15","true"
"38","0.05517517808978986","5","true","38","0.06657048990257568","15","true"
"39","0.058346369377456624","5","true","39","0.06721095496045663","15","true"
"40","0.061514943656025854","5","true","40","0.06781516349995369","15","true"
"41","0.0645979857271367","5","true","41","0.06838479983932919","15","true"
"42","0.06755668756088545","5","true","42","0.06892208523591081","15","true"
"43","0.07040944399671158","5","true","43","0.06942969864905095","15","true"
"44","0.07319881321205635","5","true","44","0.06991069478681683","15","true"
"45","0.07597895978106714","5","true","45","0.07036842231824639","15","true"
"46","0.07882462745556064","5","true","46","0.07080644465281388","15","true"
"47","0.0817996533170389","5","true","47","0.07122846517716494","15","true"
"48","0.08494867809269391","5","true","48","0.0716382583331814","15","true"
"49","0.0883025963129745","5","true","49","0.0720396074495515","15","true"
"50","0.09189304261929065","5","true","50","0.07243624982126819","15","true"
"51","0.09576446145095856","5","true","51","0.0728318291799761","15","true"
"52","0.09995452044385003","5","true","52","0.0732298554181015","15","true"
"53","0.10445517686805554","5","true","53","0.07363367122094552","15","true"
"54","0.10917259664492997","5","true","54","0.07404642511889253","15","true"
"55","0.1139958244357492","5","true","55","0.07447105038908514","15","true"
"56","0.11885447552301968","5","true","56","0.07491024920301732","15","true"
"57","0.12376234320401354","5","true","57","0.07536648142324114","15","true"
"58","0.12880540246220856","5","true","58","0.07584195748842718","15","true"
"59","0.13405608399799504","5","true","59","0.07633863488143826","15","true"
"60","0.13949226708423398","5","true","60","0.07685821774097237","15","true"
"61","0.14494312103813545","5","true","61","0.07740215924597185","15","true"
"62","0.1501290870690382","5","true","62","0.0779716664671627","15","true"
"63","0.15473800188589568","5","true","63","0.07856770743708545","15","true"
"64","0.15855379400045347","5","true","64","0.07919102023564427","15","true"
"65","0.16149429801138984","5","true","65","0.07984212392084099","15","true"
"66","0.1635983876738618","5","true","66","0.08052133115358692","15","true"
"67","0.16497967403678274","5","true","67","0.08122876237201636","15","true"
"68","0.16579136577838752","5","true","68","0.08196436136616522","15","true"
"69","0.16620607284069303","5","true","69","0.08272791209046733","15","true"
"70","0.16638895056313688","5","true","70","0.08351905653186295","15","true"
"71","0.16646152264917075","5","true","71","0.08433731342819009","15","true"
"72","0.1664891767269557","5","true","72","0.08518209760762087","15","true"
"73","0.16649975588677307","5","true","73","0.08605273969769749","15","true"
"74","0.1665038868244495","5","true","74","0.08694850593409602","15","true"
"75","0.16650553530061832","5","true","75","0.08786861778624147","15","true"
"76","0.16650620488750434","5","true","76","0.08881227111045416","15","true"
"77","0.1665064804207166","5","true","77","0.08977865454205324","15","true"
"78","0.1665065948333639","5","true","78","0.0907669668459074","15","true"
"79","0.16650664263475584","5","true","79","0.09177643296006952","15","true"
"80","0.16650666268807532","5","true","80","0.09280631848870156","15","true"
"81","0.16650667112352113","5","true","81","0.09385594242763337","15","true"
"82","0.16650667467821792","5","true","82","0.09492468793758149","15","true"
"83","0.1665066761779139","5","true","83","0.0960120110150875","15","true"
"84","0.16650667681110407","5","true","84","0.09711744694859262","15","true"
"85","0.1665066770785782","5","true","85","0.09824061448560377","15","true"
"86","0.1665066771916013","5","true","86","0.09938121767570901","15","true"
"87","0.1665066772393705","5","true","87","0.10053904539248595","15","true"
"88","0.166506677259563","5","true","88","0.10171396857441725","15","true"
"89","0.16650667726809898","5","true","89","0.10290593526033824","15","true"
"90","0.16650667727170781","5","true","90","0.10411496352833607","15","true"
"91","0.16650667727323387","5","true","91","0.10534113247811894","15","true"
"92","0.16650667727387872","5","true","92","0.10658457142561478","15","true"
"93","0.16650667727415125","5","true","93","0.10784544750473744","15","true"
"94","0.1665066772742671","5","true","94","0.10912395189488627","15","true"
"95","0.16650667727431562","5","true","95","0.11042028491361741","15","true"
"96","0.16650667727433632","5","true","96","0.11173464023201571","15","true"
"97","0.16650667727434482","5","true","97","0.11306718848529705","15","true"
"98","0.1665066772743489","5","true","98","0.11441806056293023","15","true"
"99","0.16650667727434998","5","true","99","0.1157873308707308","15","true"
"100","0.16650667727435076","5","true","100","0.11717500086164412","15","true"
