"export-plot data (NetLogo 7.0.4)"
"evacuacao_incendio.nlogo"
"06/07/2026 22:42:23:513 -0300"

"MODEL SETTINGS"
"percent-idosos","coef-calor","linha-incendio","beta-saude","gamma-fadiga","lambda-fumaca","peso-fumaca","percent-pcd","andar-incendio","max-ticks","coef-co2","peso-calor","numero-ocupantes","peso-congestao","coef-co","coluna-incendio"
"10","0.008","5","1.5","0.5","2.5","40","5","15","8000","0.005","35","300","3","0.006","5"

"""Evacuacao x Tempo"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","180","0","300","true","""Evacuados""","true","3"

"pen name","pen down?","mode","interval","color","x"
"""Evacuados""","true","0","1","65","161"
"""Mortos""","true","0","1","15","161"
"""Ativos""","true","0","1","105","161"

"""Evacuados""",,,,"""Mortos""",,,,"""Ativos"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","65","true","0","0","15","true","0","300","105","true"
"1","0","65","true","1","0","15","true","1","300","105","true"
"2","1","65","true","2","0","15","true","2","299","105","true"
"3","1","65","true","3","0","15","true","3","299","105","true"
"4","1","65","true","4","0","15","true","4","299","105","true"
"5","1","65","true","5","0","15","true","5","299","105","true"
"6","1","65","true","6","0","15","true","6","299","105","true"
"7","3","65","true","7","0","15","true","7","297","105","true"
"8","3","65","true","8","0","15","true","8","297","105","true"
"9","3","65","true","9","0","15","true","9","297","105","true"
"10","3","65","true","10","0","15","true","10","297","105","true"
"11","4","65","true","11","0","15","true","11","296","105","true"
"12","5","65","true","12","0","15","true","12","295","105","true"
"13","5","65","true","13","0","15","true","13","295","105","true"
"14","5","65","true","14","0","15","true","14","295","105","true"
"15","5","65","true","15","0","15","true","15","295","105","true"
"16","6","65","true","16","0","15","true","16","294","105","true"
"17","8","65","true","17","0","15","true","17","292","105","true"
"18","8","65","true","18","0","15","true","18","292","105","true"
"19","9","65","true","19","0","15","true","19","291","105","true"
"20","9","65","true","20","0","15","true","20","291","105","true"
"21","10","65","true","21","0","15","true","21","290","105","true"
"22","11","65","true","22","0","15","true","22","289","105","true"
"23","12","65","true","23","0","15","true","23","288","105","true"
"24","13","65","true","24","0","15","true","24","287","105","true"
"25","14","65","true","25","0","15","true","25","286","105","true"
"26","15","65","true","26","0","15","true","26","285","105","true"
"27","16","65","true","27","2","15","true","27","282","105","true"
"28","17","65","true","28","3","15","true","28","280","105","true"
"29","19","65","true","29","4","15","true","29","277","105","true"
"30","20","65","true","30","5","15","true","30","275","105","true"
"31","22","65","true","31","5","15","true","31","273","105","true"
"32","23","65","true","32","5","15","true","32","272","105","true"
"33","25","65","true","33","7","15","true","33","268","105","true"
"34","26","65","true","34","7","15","true","34","267","105","true"
"35","29","65","true","35","10","15","true","35","261","105","true"
"36","29","65","true","36","14","15","true","36","257","105","true"
"37","31","65","true","37","22","15","true","37","247","105","true"
"38","33","65","true","38","28","15","true","38","239","105","true"
"39","33","65","true","39","37","15","true","39","230","105","true"
"40","35","65","true","40","44","15","true","40","221","105","true"
"41","35","65","true","41","47","15","true","41","218","105","true"
"42","38","65","true","42","53","15","true","42","209","105","true"
"43","39","65","true","43","58","15","true","43","203","105","true"
"44","41","65","true","44","70","15","true","44","189","105","true"
"45","44","65","true","45","77","15","true","45","179","105","true"
"46","45","65","true","46","85","15","true","46","170","105","true"
"47","47","65","true","47","88","15","true","47","165","105","true"
"48","48","65","true","48","88","15","true","48","164","105","true"
"49","50","65","true","49","95","15","true","49","155","105","true"
"50","51","65","true","50","102","15","true","50","147","105","true"
"51","52","65","true","51","106","15","true","51","142","105","true"
"52","54","65","true","52","108","15","true","52","138","105","true"
"53","56","65","true","53","109","15","true","53","135","105","true"
"54","58","65","true","54","112","15","true","54","130","105","true"
"55","59","65","true","55","114","15","true","55","127","105","true"
"56","61","65","true","56","115","15","true","56","124","105","true"
"57","62","65","true","57","115","15","true","57","123","105","true"
"58","63","65","true","58","115","15","true","58","122","105","true"
"59","64","65","true","59","116","15","true","59","120","105","true"
"60","66","65","true","60","117","15","true","60","117","105","true"
"61","69","65","true","61","120","15","true","61","111","105","true"
"62","70","65","true","62","121","15","true","62","109","105","true"
"63","73","65","true","63","121","15","true","63","106","105","true"
"64","73","65","true","64","121","15","true","64","106","105","true"
"65","75","65","true","65","121","15","true","65","104","105","true"
"66","77","65","true","66","121","15","true","66","102","105","true"
"67","77","65","true","67","121","15","true","67","102","105","true"
"68","79","65","true","68","121","15","true","68","100","105","true"
"69","80","65","true","69","121","15","true","69","99","105","true"
"70","82","65","true","70","121","15","true","70","97","105","true"
"71","84","65","true","71","121","15","true","71","95","105","true"
"72","86","65","true","72","121","15","true","72","93","105","true"
"73","87","65","true","73","121","15","true","73","92","105","true"
"74","89","65","true","74","121","15","true","74","90","105","true"
"75","89","65","true","75","122","15","true","75","89","105","true"
"76","91","65","true","76","122","15","true","76","87","105","true"
"77","93","65","true","77","122","15","true","77","85","105","true"
"78","95","65","true","78","122","15","true","78","83","105","true"
"79","97","65","true","79","122","15","true","79","81","105","true"
"80","98","65","true","80","122","15","true","80","80","105","true"
"81","99","65","true","81","122","15","true","81","79","105","true"
"82","102","65","true","82","122","15","true","82","76","105","true"
"83","103","65","true","83","122","15","true","83","75","105","true"
"84","105","65","true","84","122","15","true","84","73","105","true"
"85","106","65","true","85","122","15","true","85","72","105","true"
"86","107","65","true","86","122","15","true","86","71","105","true"
"87","109","65","true","87","122","15","true","87","69","105","true"
"88","111","65","true","88","122","15","true","88","67","105","true"
"89","112","65","true","89","122","15","true","89","66","105","true"
"90","114","65","true","90","122","15","true","90","64","105","true"
"91","115","65","true","91","122","15","true","91","63","105","true"
"92","117","65","true","92","122","15","true","92","61","105","true"
"93","120","65","true","93","122","15","true","93","58","105","true"
"94","122","65","true","94","122","15","true","94","56","105","true"
"95","124","65","true","95","122","15","true","95","54","105","true"
"96","125","65","true","96","122","15","true","96","53","105","true"
"97","125","65","true","97","122","15","true","97","53","105","true"
"98","126","65","true","98","122","15","true","98","52","105","true"
"99","128","65","true","99","122","15","true","99","50","105","true"
"100","129","65","true","100","122","15","true","100","49","105","true"
"101","130","65","true","101","122","15","true","101","48","105","true"
"102","132","65","true","102","122","15","true","102","46","105","true"
"103","133","65","true","103","122","15","true","103","45","105","true"
"104","135","65","true","104","122","15","true","104","43","105","true"
"105","136","65","true","105","122","15","true","105","42","105","true"
"106","137","65","true","106","122","15","true","106","41","105","true"
"107","139","65","true","107","122","15","true","107","39","105","true"
"108","141","65","true","108","122","15","true","108","37","105","true"
"109","141","65","true","109","122","15","true","109","37","105","true"
"110","143","65","true","110","122","15","true","110","35","105","true"
"111","146","65","true","111","122","15","true","111","32","105","true"
"112","147","65","true","112","122","15","true","112","31","105","true"
"113","150","65","true","113","122","15","true","113","28","105","true"
"114","152","65","true","114","122","15","true","114","26","105","true"
"115","154","65","true","115","122","15","true","115","24","105","true"
"116","156","65","true","116","122","15","true","116","22","105","true"
"117","157","65","true","117","122","15","true","117","21","105","true"
"118","159","65","true","118","122","15","true","118","19","105","true"
"119","160","65","true","119","122","15","true","119","18","105","true"
"120","161","65","true","120","122","15","true","120","17","105","true"
"121","164","65","true","121","122","15","true","121","14","105","true"
"122","164","65","true","122","122","15","true","122","14","105","true"
"123","166","65","true","123","122","15","true","123","12","105","true"
"124","166","65","true","124","122","15","true","124","12","105","true"
"125","168","65","true","125","122","15","true","125","10","105","true"
"126","168","65","true","126","122","15","true","126","10","105","true"
"127","169","65","true","127","122","15","true","127","9","105","true"
"128","170","65","true","128","122","15","true","128","8","105","true"
"129","170","65","true","129","122","15","true","129","8","105","true"
"130","171","65","true","130","122","15","true","130","7","105","true"
"131","171","65","true","131","122","15","true","131","7","105","true"
"132","171","65","true","132","122","15","true","132","7","105","true"
"133","171","65","true","133","122","15","true","133","7","105","true"
"134","171","65","true","134","122","15","true","134","7","105","true"
"135","173","65","true","135","122","15","true","135","5","105","true"
