"export-plot data (NetLogo 7.0.4)"
"evacuacao_incendio.nlogo"
"06/07/2026 22:42:32:019 -0300"

"MODEL SETTINGS"
"percent-idosos","coef-calor","linha-incendio","beta-saude","gamma-fadiga","lambda-fumaca","peso-fumaca","percent-pcd","andar-incendio","max-ticks","coef-co2","peso-calor","numero-ocupantes","peso-congestao","coef-co","coluna-incendio"
"10","0.008","5","1.5","0.5","2.5","40","5","15","8000","0.005","35","300","3","0.006","5"

"""Evacuados por perfil"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","180","0","160","true","""Adulto""","true","3"

"pen name","pen down?","mode","interval","color","x"
"""Adulto""","true","0","1","105","161"
"""Idoso""","true","0","1","25","161"
"""PcD""","true","0","1","115","161"

"""Adulto""",,,,"""Idoso""",,,,"""PcD"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","105","true","0","0","25","true","0","0","115","true"
"1","0","105","true","1","0","25","true","1","0","115","true"
"2","1","105","true","2","0","25","true","2","0","115","true"
"3","1","105","true","3","0","25","true","3","0","115","true"
"4","1","105","true","4","0","25","true","4","0","115","true"
"5","1","105","true","5","0","25","true","5","0","115","true"
"6","1","105","true","6","0","25","true","6","0","115","true"
"7","3","105","true","7","0","25","true","7","0","115","true"
"8","3","105","true","8","0","25","true","8","0","115","true"
"9","3","105","true","9","0","25","true","9","0","115","true"
"10","3","105","true","10","0","25","true","10","0","115","true"
"11","4","105","true","11","0","25","true","11","0","115","true"
"12","5","105","true","12","0","25","true","12","0","115","true"
"13","5","105","true","13","0","25","true","13","0","115","true"
"14","5","105","true","14","0","25","true","14","0","115","true"
"15","5","105","true","15","0","25","true","15","0","115","true"
"16","6","105","true","16","0","25","true","16","0","115","true"
"17","8","105","true","17","0","25","true","17","0","115","true"
"18","8","105","true","18","0","25","true","18","0","115","true"
"19","9","105","true","19","0","25","true","19","0","115","true"
"20","9","105","true","20","0","25","true","20","0","115","true"
"21","10","105","true","21","0","25","true","21","0","115","true"
"22","10","105","true","22","1","25","true","22","0","115","true"
"23","11","105","true","23","1","25","true","23","0","115","true"
"24","12","105","true","24","1","25","true","24","0","115","true"
"25","13","105","true","25","1","25","true","25","0","115","true"
"26","14","105","true","26","1","25","true","26","0","115","true"
"27","15","105","true","27","1","25","true","27","0","115","true"
"28","16","105","true","28","1","25","true","28","0","115","true"
"29","18","105","true","29","1","25","true","29","0","115","true"
"30","19","105","true","30","1","25","true","30","0","115","true"
"31","21","105","true","31","1","25","true","31","0","115","true"
"32","22","105","true","32","1","25","true","32","0","115","true"
"33","24","105","true","33","1","25","true","33","0","115","true"
"34","25","105","true","34","1","25","true","34","0","115","true"
"35","28","105","true","35","1","25","true","35","0","115","true"
"36","28","105","true","36","1","25","true","36","0","115","true"
"37","30","105","true","37","1","25","true","37","0","115","true"
"38","32","105","true","38","1","25","true","38","0","115","true"
"39","32","105","true","39","1","25","true","39","0","115","true"
"40","34","105","true","40","1","25","true","40","0","115","true"
"41","34","105","true","41","1","25","true","41","0","115","true"
"42","37","105","true","42","1","25","true","42","0","115","true"
"43","38","105","true","43","1","25","true","43","0","115","true"
"44","40","105","true","44","1","25","true","44","0","115","true"
"45","43","105","true","45","1","25","true","45","0","115","true"
"46","44","105","true","46","1","25","true","46","0","115","true"
"47","46","105","true","47","1","25","true","47","0","115","true"
"48","47","105","true","48","1","25","true","48","0","115","true"
"49","49","105","true","49","1","25","true","49","0","115","true"
"50","50","105","true","50","1","25","true","50","0","115","true"
"51","51","105","true","51","1","25","true","51","0","115","true"
"52","53","105","true","52","1","25","true","52","0","115","true"
"53","55","105","true","53","1","25","true","53","0","115","true"
"54","57","105","true","54","1","25","true","54","0","115","true"
"55","58","105","true","55","1","25","true","55","0","115","true"
"56","60","105","true","56","1","25","true","56","0","115","true"
"57","61","105","true","57","1","25","true","57","0","115","true"
"58","62","105","true","58","1","25","true","58","0","115","true"
"59","63","105","true","59","1","25","true","59","0","115","true"
"60","65","105","true","60","1","25","true","60","0","115","true"
"61","68","105","true","61","1","25","true","61","0","115","true"
"62","69","105","true","62","1","25","true","62","0","115","true"
"63","72","105","true","63","1","25","true","63","0","115","true"
"64","72","105","true","64","1","25","true","64","0","115","true"
"65","74","105","true","65","1","25","true","65","0","115","true"
"66","76","105","true","66","1","25","true","66","0","115","true"
"67","76","105","true","67","1","25","true","67","0","115","true"
"68","78","105","true","68","1","25","true","68","0","115","true"
"69","79","105","true","69","1","25","true","69","0","115","true"
"70","81","105","true","70","1","25","true","70","0","115","true"
"71","83","105","true","71","1","25","true","71","0","115","true"
"72","84","105","true","72","2","25","true","72","0","115","true"
"73","85","105","true","73","2","25","true","73","0","115","true"
"74","87","105","true","74","2","25","true","74","0","115","true"
"75","87","105","true","75","2","25","true","75","0","115","true"
"76","89","105","true","76","2","25","true","76","0","115","true"
"77","91","105","true","77","2","25","true","77","0","115","true"
"78","93","105","true","78","2","25","true","78","0","115","true"
"79","95","105","true","79","2","25","true","79","0","115","true"
"80","96","105","true","80","2","25","true","80","0","115","true"
"81","97","105","true","81","2","25","true","81","0","115","true"
"82","98","105","true","82","3","25","true","82","1","115","true"
"83","99","105","true","83","3","25","true","83","1","115","true"
"84","101","105","true","84","3","25","true","84","1","115","true"
"85","102","105","true","85","3","25","true","85","1","115","true"
"86","103","105","true","86","3","25","true","86","1","115","true"
"87","105","105","true","87","3","25","true","87","1","115","true"
"88","106","105","true","88","4","25","true","88","1","115","true"
"89","107","105","true","89","4","25","true","89","1","115","true"
"90","108","105","true","90","5","25","true","90","1","115","true"
"91","109","105","true","91","5","25","true","91","1","115","true"
"92","111","105","true","92","5","25","true","92","1","115","true"
"93","114","105","true","93","5","25","true","93","1","115","true"
"94","116","105","true","94","5","25","true","94","1","115","true"
"95","117","105","true","95","6","25","true","95","1","115","true"
"96","118","105","true","96","6","25","true","96","1","115","true"
"97","118","105","true","97","6","25","true","97","1","115","true"
"98","119","105","true","98","6","25","true","98","1","115","true"
"99","121","105","true","99","6","25","true","99","1","115","true"
"100","122","105","true","100","6","25","true","100","1","115","true"
"101","123","105","true","101","6","25","true","101","1","115","true"
"102","125","105","true","102","6","25","true","102","1","115","true"
"103","125","105","true","103","7","25","true","103","1","115","true"
"104","127","105","true","104","7","25","true","104","1","115","true"
"105","128","105","true","105","7","25","true","105","1","115","true"
"106","129","105","true","106","7","25","true","106","1","115","true"
"107","131","105","true","107","7","25","true","107","1","115","true"
"108","133","105","true","108","7","25","true","108","1","115","true"
"109","133","105","true","109","7","25","true","109","1","115","true"
"110","135","105","true","110","7","25","true","110","1","115","true"
"111","137","105","true","111","8","25","true","111","1","115","true"
"112","138","105","true","112","8","25","true","112","1","115","true"
"113","141","105","true","113","8","25","true","113","1","115","true"
"114","143","105","true","114","8","25","true","114","1","115","true"
"115","145","105","true","115","8","25","true","115","1","115","true"
"116","147","105","true","116","8","25","true","116","1","115","true"
"117","148","105","true","117","8","25","true","117","1","115","true"
"118","150","105","true","118","8","25","true","118","1","115","true"
"119","151","105","true","119","8","25","true","119","1","115","true"
"120","152","105","true","120","8","25","true","120","1","115","true"
"121","154","105","true","121","9","25","true","121","1","115","true"
"122","154","105","true","122","9","25","true","122","1","115","true"
"123","155","105","true","123","10","25","true","123","1","115","true"
"124","155","105","true","124","10","25","true","124","1","115","true"
"125","156","105","true","125","11","25","true","125","1","115","true"
"126","156","105","true","126","11","25","true","126","1","115","true"
"127","157","105","true","127","11","25","true","127","1","115","true"
"128","158","105","true","128","11","25","true","128","1","115","true"
"129","158","105","true","129","11","25","true","129","1","115","true"
"130","158","105","true","130","12","25","true","130","1","115","true"
"131","158","105","true","131","12","25","true","131","1","115","true"
"132","158","105","true","132","12","25","true","132","1","115","true"
"133","158","105","true","133","12","25","true","133","1","115","true"
"134","158","105","true","134","12","25","true","134","1","115","true"
"135","158","105","true","135","13","25","true","135","2","115","true"
"136","158","105","true","136","13","25","true","136","2","115","true"
"137","158","105","true","137","13","25","true","137","2","115","true"
"138","158","105","true","138","13","25","true","138","2","115","true"
"139","158","105","true","139","14","25","true","139","2","115","true"
"140","158","105","true","140","14","25","true","140","3","115","true"
"141","158","105","true","141","14","25","true","141","4","115","true"
"142","158","105","true","142","14","25","true","142","4","115","true"
"143","158","105","true","143","14","25","true","143","5","115","true"
"144","158","105","true","144","14","25","true","144","5","115","true"
"145","158","105","true","145","14","25","true","145","5","115","true"
"146","158","105","true","146","14","25","true","146","5","115","true"
"147","158","105","true","147","14","25","true","147","5","115","true"
"148","158","105","true","148","14","25","true","148","5","115","true"
"149","158","105","true","149","14","25","true","149","5","115","true"
"150","158","105","true","150","14","25","true","150","5","115","true"
"151","158","105","true","151","14","25","true","151","5","115","true"
"152","158","105","true","152","14","25","true","152","5","115","true"
"153","158","105","true","153","14","25","true","153","5","115","true"
"154","158","105","true","154","14","25","true","154","5","115","true"
"155","158","105","true","155","14","25","true","155","5","115","true"
"156","158","105","true","156","14","25","true","156","5","115","true"
"157","158","105","true","157","14","25","true","157","5","115","true"
"158","158","105","true","158","14","25","true","158","5","115","true"
"159","158","105","true","159","14","25","true","159","5","115","true"
"160","158","105","true","160","14","25","true","160","5","115","true"
"161","159","105","true","161","14","25","true","161","5","115","true"
