"export-plot data (NetLogo 7.0.4)"
"evacuacao_incendio.nlogo"
"06/07/2026 22:42:28:946 -0300"

"MODEL SETTINGS"
"percent-idosos","coef-calor","linha-incendio","beta-saude","gamma-fadiga","lambda-fumaca","peso-fumaca","percent-pcd","andar-incendio","max-ticks","coef-co2","peso-calor","numero-ocupantes","peso-congestao","coef-co","coluna-incendio"
"10","0.008","5","1.5","0.5","2.5","40","5","15","8000","0.005","35","300","3","0.006","5"

"""Fumaca e Temp. medias"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","180","0","1","true","""fumaca""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""fumaca""","true","0","1","5","161"
"""temp norm.""","true","0","1","15","161"

"""fumaca""",,,,"""temp norm."""
"x","y","color","pen down?","x","y","color","pen down?"
"0","1.0783996549121104E-4","5","true","0","0.041770013300262414","15","true"
"1","2.5860023724792405E-4","5","true","1","0.041873256587224565","15","true"
"2","5.080067267874475E-4","5","true","2","0.042021520400007645","15","true"
"3","9.117474851669319E-4","5","true","3","0.04221471459431671","15","true"
"4","0.0015133781133485425","5","true","4","0.042452749161124945","15","true"
"5","0.0023391097466668766","5","true","5","0.04273523296399449","15","true"
"6","0.0033939550088331397","5","true","6","0.04306090682083175","15","true"
"7","0.0046434351194052865","5","true","7","0.04342724759040636","15","true"
"8","0.005988028265841984","5","true","8","0.04383036948182033","15","true"
"9","0.007284697488763942","5","true","9","0.04426520352825706","15","true"
"10","0.008432755619239412","5","true","10","0.04472588280801386","15","true"
"11","0.009441687573888411","5","true","11","0.04520624177426927","15","true"
"12","0.010397090701715642","5","true","12","0.04570033687421512","15","true"
"13","0.011427032613892139","5","true","13","0.046202910370666976","15","true"
"14","0.012634770721159903","5","true","14","0.046709745470478646","15","true"
"15","0.0140880192964974","5","true","15","0.047217890536655885","15","true"
"16","0.01587146648738248","5","true","16","0.04772575574761027","15","true"
"17","0.018098903355138824","5","true","17","0.0482331027272626","15","true"
"18","0.020870015740051186","5","true","18","0.04874095566695008","15","true"
"19","0.02428247464369432","5","true","19","0.04925146302586648","15","true"
"20","0.028421997465634386","5","true","20","0.049767734763712684","15","true"
"21","0.03334890481253204","5","true","21","0.05029367384779522","15","true"
"22","0.03908850024314797","5","true","22","0.05083381442141753","15","true"
"23","0.045612609523164926","5","true","23","0.051393173638312216","15","true"
"24","0.05290635981623316","5","true","24","0.05197712018864868","15","true"
"25","0.06099359117703224","5","true","25","0.052591259936139584","15","true"
"26","0.06988792920183041","5","true","26","0.05324133758754461","15","true"
"27","0.07947909775714185","5","true","27","0.05393315259252445","15","true"
"28","0.08956770883032461","5","true","28","0.05467248722490934","15","true"
"29","0.0999483385914878","5","true","29","0.055465044806689824","15","true"
"30","0.1104681427176628","5","true","30","0.056316396168523124","15","true"
"31","0.12102119003039402","5","true","31","0.05723193262846979","15","true"
"32","0.13155737444766843","5","true","32","0.05821682399121741","15","true"
"33","0.14207798055534432","5","true","33","0.05927598032185624","15","true"
"34","0.1525951521716833","5","true","34","0.060414016534387","15","true"
"35","0.16314318187906687","5","true","35","0.06163521915340386","15","true"
"36","0.17376090766308142","5","true","36","0.0629435149464608","15","true"
"37","0.18450105233877506","5","true","37","0.06434244146491136","15","true"
"38","0.1954546447476618","5","true","38","0.06583511984781303","15","true"
"39","0.20676432172891768","5","true","39","0.06742423051123216","15","true"
"40","0.21856874819727617","5","true","40","0.06911199254159275","15","true"
"41","0.2309621337749157","5","true","41","0.07090014772049505","15","true"
"42","0.24398976432057234","5","true","42","0.07278995012179684","15","true"
"43","0.25765419721326427","5","true","43","0.07478216214071068","15","true"
"44","0.2719557311762799","5","true","44","0.07687705764855592","15","true"
"45","0.28690413180489976","5","true","45","0.07907443273189717","15","true"
"46","0.3025273020274893","5","true","46","0.08137362419223992","15","true"
"47","0.31884440762910876","5","true","47","0.08377353567595063","15","true"
"48","0.3357781566811637","5","true","48","0.08627267099751951","15","true"
"49","0.35314058672748083","5","true","49","0.08886917393459456","15","true"
"50","0.3706097384717222","5","true","50","0.09156087352880173","15","true"
"51","0.38779825112859817","5","true","51","0.09434533373571402","15","true"
"52","0.4043264703225894","5","true","52","0.09721990613879186","15","true"
"53","0.4199059338360526","5","true","53","0.10018178437848745","15","true"
"54","0.43433426222725613","5","true","54","0.10322805894705223","15","true"
"55","0.4474625903722407","5","true","55","0.10635577105575794","15","true"
"56","0.4591751338910263","5","true","56","0.10956196438506133","15","true"
"57","0.46935513593562045","5","true","57","0.11284373366858316","15","true"
"58","0.47790537183909454","5","true","58","0.11619826922661083","15","true"
"59","0.4847649898041501","5","true","59","0.11962289674236148","15","true"
"60","0.4899839434368256","5","true","60","0.12311511175362537","15","true"
"61","0.4937296677410646","5","true","61","0.12667260850436057","15","true"
"62","0.49625308852031286","5","true","62","0.1302933029581754","15","true"
"63","0.49783409360706743","5","true","63","0.13397534991339358","15","true"
"64","0.4987358101645878","5","true","64","0.1377171542747062","15","true"
"65","0.4991904089172431","5","true","65","0.14151737662864755","15","true"
"66","0.4993905403124677","5","true","66","0.1453749333401949","15","true"
"67","0.4994701874715946","5","true","67","0.14928899143818877","15","true"
"68","0.4995006368489041","5","true","68","0.15325895859138192","15","true"
"69","0.4995123163108031","5","true","69","0.15728446849877945","15","true"
"70","0.4995168861088374","5","true","70","0.16136536203149865","15","true"
"71","0.499518712422864","5","true","71","0.16550166447282155","15","true"
"72","0.49951945502869777","5","true","72","0.16969355921158477","15","true"
"73","0.49951976083263105","5","true","73","0.1739413582544496","15","true"
"74","0.4995198878779915","5","true","74","0.17824546993660503","15","true"
"75","0.4995199409749487","5","true","75","0.18260636422906582","15","true"
"76","0.4995199632547362","5","true","76","0.18702453606386","15","true"
"77","0.49951997262810777","5","true","77","0.19150046712529578","15","true"
"78","0.499519976578424","5","true","78","0.19603458658454942","15","true"
"79","0.49951997824512967","5","true","79","0.20062723128412288","15","true"
"80","0.4995199789488643","5","true","80","0.20527860590577127","15","true"
"81","0.4995199792461432","5","true","81","0.2099887436780546","15","true"
"82","0.4995199793717654","5","true","82","0.2147574681951232","15","true"
"83","0.49951997942485965","5","true","83","0.21958435692482914","15","true"
"84","0.49951997944730286","5","true","84","0.22446870697988905","15","true"
"85","0.49951997945679105","5","true","85","0.22940950370950675","15","true"
"86","0.4995199794608018","5","true","86","0.23440539263999435","15","true"
"87","0.49951997946249743","5","true","87","0.23945465525141757","15","true"
"88","0.4995199794632134","5","true","88","0.24455518902386733","15","true"
"89","0.49951997946351795","5","true","89","0.24970449212260648","15","true"
"90","0.49951997946364524","5","true","90","0.2548996530177194","15","true"
"91","0.4995199794636996","5","true","91","0.26013734525302484","15","true"
"92","0.49951997946372234","5","true","92","0.2654138274929933","15","true"
"93","0.49951997946373056","5","true","93","0.27072494888772686","15","true"
"94","0.499519979463736","5","true","94","0.27606615970707893","15","true"
"95","0.4995199794637392","5","true","95","0.28143252710800576","15","true"
"96","0.49951997946373977","5","true","96","0.2868187558164411","15","true"
"97","0.49951997946373833","5","true","97","0.29221921342839474","15","true"
"98","0.49951997946373977","5","true","98","0.2976279599659591","15","true"
"99","0.4995199794637396","5","true","99","0.3030387812641453","15","true"
"100","0.49951997946373894","5","true","100","0.30844522571452665","15","true"
"101","0.4995199794637406","5","true","101","0.3138406438523713","15","true"
"102","0.4995199794637391","5","true","102","0.31921823024557633","15","true"
"103","0.49951997946373733","5","true","103","0.32457106712592176","15","true"
"104","0.4995199794637381","5","true","104","0.32989216919607195","15","true"
"105","0.49951997946373977","5","true","105","0.33517452904833667","15","true"
"106","0.4995199794637393","5","true","106","0.34041116264306986","15","true"
"107","0.49951997946373694","5","true","107","0.3455951543146059","15","true"
"108","0.4995199794637404","5","true","108","0.35071970079995146","15","true"
"109","0.49951997946373783","5","true","109","0.3557781538189274","15","true"
