"export-plot data (NetLogo 7.0.4)"
"evacuacao_incendio.nlogo"
"06/07/2026 22:51:00:121 -0300"

"MODEL SETTINGS"
"percent-idosos","coef-calor","linha-incendio","beta-saude","gamma-fadiga","lambda-fumaca","peso-fumaca","percent-pcd","andar-incendio","max-ticks","coef-co2","peso-calor","numero-ocupantes","peso-congestao","coef-co","coluna-incendio"
"20","0.004","15","1","0.8","3","15","10","10","8000","0.002","10","540","10","0.003","15"

"""Evacuados por perfil"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","600","0","380","true","""Adulto""","true","3"

"pen name","pen down?","mode","interval","color","x"
"""Adulto""","true","0","1","105","589"
"""Idoso""","true","0","1","25","589"
"""PcD""","true","0","1","115","589"

"""Adulto""",,,,"""Idoso""",,,,"""PcD"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","105","true","0","0","25","true","0","0","115","true"
"1","0","105","true","1","0","25","true","1","0","115","true"
"2","0","105","true","2","0","25","true","2","0","115","true"
"3","1","105","true","3","0","25","true","3","0","115","true"
"4","1","105","true","4","0","25","true","4","0","115","true"
"5","2","105","true","5","0","25","true","5","0","115","true"
"6","3","105","true","6","0","25","true","6","0","115","true"
"7","3","105","true","7","0","25","true","7","0","115","true"
"8","5","105","true","8","0","25","true","8","0","115","true"
"9","5","105","true","9","0","25","true","9","0","115","true"
"10","7","105","true","10","0","25","true","10","0","115","true"
"11","7","105","true","11","0","25","true","11","0","115","true"
"12","8","105","true","12","0","25","true","12","0","115","true"
"13","8","105","true","13","0","25","true","13","0","115","true"
"14","9","105","true","14","0","25","true","14","0","115","true"
"15","10","105","true","15","0","25","true","15","0","115","true"
"16","11","105","true","16","0","25","true","16","0","115","true"
"17","12","105","true","17","0","25","true","17","0","115","true"
"18","13","105","true","18","0","25","true","18","0","115","true"
"19","14","105","true","19","0","25","true","19","0","115","true"
"20","15","105","true","20","0","25","true","20","0","115","true"
"21","16","105","true","21","0","25","true","21","0","115","true"
"22","16","105","true","22","0","25","true","22","0","115","true"
"23","17","105","true","23","0","25","true","23","0","115","true"
"24","17","105","true","24","1","25","true","24","0","115","true"
"25","19","105","true","25","1","25","true","25","0","115","true"
"26","20","105","true","26","1","25","true","26","0","115","true"
"27","21","105","true","27","1","25","true","27","0","115","true"
"28","23","105","true","28","1","25","true","28","0","115","true"
"29","24","105","true","29","1","25","true","29","0","115","true"
"30","25","105","true","30","1","25","true","30","0","115","true"
"31","26","105","true","31","1","25","true","31","0","115","true"
"32","26","105","true","32","1","25","true","32","0","115","true"
"33","28","105","true","33","2","25","true","33","0","115","true"
"34","30","105","true","34","2","25","true","34","0","115","true"
"35","31","105","true","35","2","25","true","35","0","115","true"
"36","32","105","true","36","2","25","true","36","0","115","true"
"37","34","105","true","37","2","25","true","37","0","115","true"
"38","37","105","true","38","2","25","true","38","0","115","true"
"39","38","105","true","39","2","25","true","39","0","115","true"
"40","40","105","true","40","2","25","true","40","0","115","true"
"41","41","105","true","41","2","25","true","41","0","115","true"
"42","43","105","true","42","2","25","true","42","0","115","true"
"43","44","105","true","43","2","25","true","43","0","115","true"
"44","45","105","true","44","2","25","true","44","0","115","true"
"45","47","105","true","45","2","25","true","45","0","115","true"
"46","48","105","true","46","2","25","true","46","0","115","true"
"47","49","105","true","47","2","25","true","47","0","115","true"
"48","51","105","true","48","2","25","true","48","0","115","true"
"49","53","105","true","49","2","25","true","49","0","115","true"
"50","56","105","true","50","2","25","true","50","0","115","true"
"51","56","105","true","51","2","25","true","51","0","115","true"
"52","58","105","true","52","2","25","true","52","1","115","true"
"53","59","105","true","53","2","25","true","53","1","115","true"
"54","61","105","true","54","2","25","true","54","1","115","true"
"55","63","105","true","55","2","25","true","55","1","115","true"
"56","65","105","true","56","2","25","true","56","1","115","true"
"57","66","105","true","57","2","25","true","57","1","115","true"
"58","69","105","true","58","2","25","true","58","1","115","true"
"59","71","105","true","59","2","25","true","59","1","115","true"
"60","73","105","true","60","2","25","true","60","1","115","true"
"61","74","105","true","61","2","25","true","61","1","115","true"
"62","75","105","true","62","2","25","true","62","1","115","true"
"63","76","105","true","63","2","25","true","63","1","115","true"
"64","77","105","true","64","2","25","true","64","1","115","true"
"65","80","105","true","65","2","25","true","65","1","115","true"
"66","81","105","true","66","2","25","true","66","1","115","true"
"67","83","105","true","67","2","25","true","67","1","115","true"
"68","86","105","true","68","2","25","true","68","1","115","true"
"69","86","105","true","69","3","25","true","69","1","115","true"
"70","87","105","true","70","3","25","true","70","1","115","true"
"71","89","105","true","71","3","25","true","71","1","115","true"
"72","89","105","true","72","3","25","true","72","1","115","true"
"73","92","105","true","73","3","25","true","73","1","115","true"
"74","94","105","true","74","3","25","true","74","1","115","true"
"75","96","105","true","75","3","25","true","75","1","115","true"
"76","97","105","true","76","4","25","true","76","1","115","true"
"77","100","105","true","77","4","25","true","77","1","115","true"
"78","102","105","true","78","4","25","true","78","1","115","true"
"79","104","105","true","79","4","25","true","79","1","115","true"
"80","105","105","true","80","4","25","true","80","1","115","true"
"81","107","105","true","81","4","25","true","81","1","115","true"
"82","109","105","true","82","4","25","true","82","1","115","true"
"83","111","105","true","83","4","25","true","83","1","115","true"
"84","111","105","true","84","4","25","true","84","1","115","true"
"85","113","105","true","85","4","25","true","85","1","115","true"
"86","115","105","true","86","4","25","true","86","1","115","true"
"87","117","105","true","87","4","25","true","87","1","115","true"
"88","119","105","true","88","5","25","true","88","1","115","true"
"89","120","105","true","89","5","25","true","89","1","115","true"
"90","122","105","true","90","5","25","true","90","1","115","true"
"91","124","105","true","91","5","25","true","91","1","115","true"
"92","125","105","true","92","5","25","true","92","1","115","true"
"93","127","105","true","93","5","25","true","93","1","115","true"
"94","128","105","true","94","5","25","true","94","1","115","true"
"95","129","105","true","95","5","25","true","95","1","115","true"
"96","130","105","true","96","5","25","true","96","1","115","true"
"97","132","105","true","97","5","25","true","97","1","115","true"
"98","135","105","true","98","5","25","true","98","1","115","true"
"99","136","105","true","99","5","25","true","99","1","115","true"
"100","137","105","true","100","5","25","true","100","1","115","true"
"101","138","105","true","101","5","25","true","101","1","115","true"
"102","140","105","true","102","5","25","true","102","1","115","true"
"103","141","105","true","103","6","25","true","103","1","115","true"
"104","142","105","true","104","6","25","true","104","1","115","true"
"105","143","105","true","105","7","25","true","105","1","115","true"
"106","145","105","true","106","7","25","true","106","1","115","true"
"107","147","105","true","107","7","25","true","107","1","115","true"
"108","148","105","true","108","7","25","true","108","1","115","true"
"109","149","105","true","109","7","25","true","109","1","115","true"
"110","150","105","true","110","7","25","true","110","1","115","true"
"111","151","105","true","111","7","25","true","111","1","115","true"
"112","152","105","true","112","7","25","true","112","1","115","true"
"113","153","105","true","113","7","25","true","113","1","115","true"
"114","155","105","true","114","7","25","true","114","1","115","true"
"115","156","105","true","115","8","25","true","115","1","115","true"
"116","158","105","true","116","8","25","true","116","1","115","true"
"117","159","105","true","117","8","25","true","117","2","115","true"
"118","161","105","true","118","8","25","true","118","2","115","true"
"119","162","105","true","119","8","25","true","119","2","115","true"
"120","164","105","true","120","8","25","true","120","2","115","true"
"121","165","105","true","121","8","25","true","121","2","115","true"
"122","167","105","true","122","8","25","true","122","2","115","true"
"123","170","105","true","123","8","25","true","123","2","115","true"
"124","170","105","true","124","8","25","true","124","2","115","true"
"125","172","105","true","125","8","25","true","125","2","115","true"
"126","173","105","true","126","9","25","true","126","2","115","true"
"127","175","105","true","127","9","25","true","127","2","115","true"
"128","176","105","true","128","9","25","true","128","2","115","true"
"129","178","105","true","129","9","25","true","129","2","115","true"
"130","180","105","true","130","9","25","true","130","2","115","true"
"131","182","105","true","131","9","25","true","131","2","115","true"
"132","183","105","true","132","10","25","true","132","2","115","true"
"133","185","105","true","133","10","25","true","133","2","115","true"
"134","185","105","true","134","10","25","true","134","2","115","true"
"135","187","105","true","135","10","25","true","135","2","115","true"
"136","188","105","true","136","10","25","true","136","2","115","true"
"137","191","105","true","137","10","25","true","137","2","115","true"
"138","191","105","true","138","10","25","true","138","2","115","true"
"139","192","105","true","139","10","25","true","139","2","115","true"
"140","193","105","true","140","11","25","true","140","2","115","true"
"141","193","105","true","141","11","25","true","141","2","115","true"
"142","195","105","true","142","12","25","true","142","2","115","true"
"143","195","105","true","143","12","25","true","143","2","115","true"
"144","196","105","true","144","12","25","true","144","2","115","true"
"145","198","105","true","145","12","25","true","145","2","115","true"
"146","199","105","true","146","13","25","true","146","2","115","true"
"147","200","105","true","147","13","25","true","147","2","115","true"
"148","201","105","true","148","14","25","true","148","2","115","true"
"149","202","105","true","149","14","25","true","149","2","115","true"
"150","203","105","true","150","14","25","true","150","2","115","true"
"151","205","105","true","151","14","25","true","151","3","115","true"
"152","206","105","true","152","14","25","true","152","3","115","true"
"153","208","105","true","153","14","25","true","153","3","115","true"
"154","210","105","true","154","14","25","true","154","3","115","true"
"155","211","105","true","155","14","25","true","155","4","115","true"
"156","214","105","true","156","14","25","true","156","4","115","true"
"157","215","105","true","157","14","25","true","157","4","115","true"
"158","217","105","true","158","14","25","true","158","4","115","true"
"159","218","105","true","159","15","25","true","159","4","115","true"
"160","220","105","true","160","15","25","true","160","4","115","true"
"161","221","105","true","161","15","25","true","161","4","115","true"
"162","222","105","true","162","16","25","true","162","4","115","true"
"163","223","105","true","163","16","25","true","163","4","115","true"
"164","224","105","true","164","17","25","true","164","4","115","true"
"165","224","105","true","165","17","25","true","165","4","115","true"
"166","225","105","true","166","19","25","true","166","4","115","true"
"167","228","105","true","167","19","25","true","167","4","115","true"
"168","230","105","true","168","19","25","true","168","4","115","true"
"169","230","105","true","169","21","25","true","169","4","115","true"
"170","233","105","true","170","21","25","true","170","4","115","true"
"171","235","105","true","171","21","25","true","171","4","115","true"
"172","237","105","true","172","21","25","true","172","4","115","true"
"173","239","105","true","173","22","25","true","173","4","115","true"
"174","239","105","true","174","22","25","true","174","4","115","true"
"175","242","105","true","175","22","25","true","175","4","115","true"
"176","244","105","true","176","22","25","true","176","4","115","true"
"177","246","105","true","177","22","25","true","177","4","115","true"
"178","246","105","true","178","22","25","true","178","4","115","true"
"179","248","105","true","179","22","25","true","179","4","115","true"
"180","249","105","true","180","22","25","true","180","4","115","true"
"181","251","105","true","181","22","25","true","181","4","115","true"
"182","252","105","true","182","22","25","true","182","4","115","true"
"183","254","105","true","183","22","25","true","183","4","115","true"
"184","254","105","true","184","22","25","true","184","4","115","true"
"185","256","105","true","185","22","25","true","185","4","115","true"
"186","256","105","true","186","22","25","true","186","4","115","true"
"187","258","105","true","187","22","25","true","187","5","115","true"
"188","258","105","true","188","22","25","true","188","5","115","true"
"189","260","105","true","189","23","25","true","189","5","115","true"
"190","261","105","true","190","23","25","true","190","5","115","true"
"191","261","105","true","191","23","25","true","191","5","115","true"
"192","263","105","true","192","23","25","true","192","5","115","true"
"193","264","105","true","193","23","25","true","193","5","115","true"
"194","265","105","true","194","23","25","true","194","5","115","true"
"195","265","105","true","195","24","25","true","195","5","115","true"
"196","265","105","true","196","26","25","true","196","5","115","true"
"197","266","105","true","197","27","25","true","197","5","115","true"
"198","268","105","true","198","27","25","true","198","5","115","true"
"199","268","105","true","199","27","25","true","199","5","115","true"
"200","270","105","true","200","27","25","true","200","5","115","true"
"201","271","105","true","201","27","25","true","201","5","115","true"
"202","274","105","true","202","27","25","true","202","5","115","true"
"203","274","105","true","203","27","25","true","203","5","115","true"
"204","275","105","true","204","27","25","true","204","6","115","true"
"205","277","105","true","205","27","25","true","205","6","115","true"
"206","279","105","true","206","27","25","true","206","6","115","true"
"207","280","105","true","207","27","25","true","207","6","115","true"
"208","280","105","true","208","28","25","true","208","6","115","true"
"209","283","105","true","209","28","25","true","209","6","115","true"
"210","284","105","true","210","28","25","true","210","6","115","true"
"211","286","105","true","211","28","25","true","211","6","115","true"
"212","289","105","true","212","28","25","true","212","6","115","true"
"213","290","105","true","213","28","25","true","213","6","115","true"
"214","291","105","true","214","29","25","true","214","6","115","true"
"215","293","105","true","215","29","25","true","215","6","115","true"
"216","295","105","true","216","29","25","true","216","6","115","true"
"217","296","105","true","217","29","25","true","217","6","115","true"
"218","298","105","true","218","29","25","true","218","6","115","true"
"219","299","105","true","219","29","25","true","219","6","115","true"
"220","300","105","true","220","29","25","true","220","6","115","true"
"221","301","105","true","221","30","25","true","221","6","115","true"
"222","301","105","true","222","31","25","true","222","6","115","true"
"223","303","105","true","223","31","25","true","223","6","115","true"
"224","303","105","true","224","31","25","true","224","6","115","true"
"225","304","105","true","225","32","25","true","225","6","115","true"
"226","305","105","true","226","33","25","true","226","7","115","true"
"227","306","105","true","227","33","25","true","227","7","115","true"
"228","307","105","true","228","33","25","true","228","7","115","true"
"229","309","105","true","229","34","25","true","229","7","115","true"
"230","311","105","true","230","34","25","true","230","7","115","true"
"231","312","105","true","231","34","25","true","231","7","115","true"
"232","314","105","true","232","35","25","true","232","7","115","true"
"233","315","105","true","233","35","25","true","233","7","115","true"
"234","316","105","true","234","35","25","true","234","7","115","true"
"235","319","105","true","235","35","25","true","235","7","115","true"
"236","320","105","true","236","35","25","true","236","7","115","true"
"237","321","105","true","237","35","25","true","237","7","115","true"
"238","321","105","true","238","35","25","true","238","8","115","true"
"239","322","105","true","239","35","25","true","239","8","115","true"
"240","323","105","true","240","35","25","true","240","8","115","true"
"241","323","105","true","241","37","25","true","241","8","115","true"
"242","324","105","true","242","38","25","true","242","8","115","true"
"243","325","105","true","243","39","25","true","243","8","115","true"
"244","326","105","true","244","40","25","true","244","8","115","true"
"245","326","105","true","245","40","25","true","245","8","115","true"
"246","326","105","true","246","41","25","true","246","8","115","true"
"247","326","105","true","247","43","25","true","247","8","115","true"
"248","327","105","true","248","43","25","true","248","8","115","true"
"249","328","105","true","249","44","25","true","249","8","115","true"
"250","329","105","true","250","44","25","true","250","8","115","true"
"251","330","105","true","251","45","25","true","251","8","115","true"
"252","332","105","true","252","45","25","true","252","8","115","true"
"253","333","105","true","253","45","25","true","253","8","115","true"
"254","335","105","true","254","45","25","true","254","8","115","true"
"255","336","105","true","255","45","25","true","255","8","115","true"
"256","336","105","true","256","47","25","true","256","8","115","true"
"257","338","105","true","257","47","25","true","257","8","115","true"
"258","340","105","true","258","48","25","true","258","8","115","true"
"259","340","105","true","259","48","25","true","259","8","115","true"
"260","341","105","true","260","48","25","true","260","8","115","true"
"261","342","105","true","261","48","25","true","261","8","115","true"
"262","342","105","true","262","48","25","true","262","9","115","true"
"263","343","105","true","263","48","25","true","263","9","115","true"
"264","344","105","true","264","48","25","true","264","9","115","true"
"265","344","105","true","265","49","25","true","265","9","115","true"
"266","345","105","true","266","50","25","true","266","9","115","true"
"267","346","105","true","267","51","25","true","267","9","115","true"
"268","346","105","true","268","51","25","true","268","10","115","true"
"269","347","105","true","269","52","25","true","269","10","115","true"
"270","348","105","true","270","52","25","true","270","10","115","true"
"271","350","105","true","271","52","25","true","271","10","115","true"
"272","352","105","true","272","52","25","true","272","10","115","true"
"273","353","105","true","273","52","25","true","273","10","115","true"
"274","353","105","true","274","52","25","true","274","10","115","true"
"275","355","105","true","275","52","25","true","275","10","115","true"
"276","355","105","true","276","52","25","true","276","10","115","true"
