"export-plot data (NetLogo 7.0.4)"
"evacuacao_incendio.nlogo"
"06/07/2026 22:50:57:686 -0300"

"MODEL SETTINGS"
"percent-idosos","coef-calor","linha-incendio","beta-saude","gamma-fadiga","lambda-fumaca","peso-fumaca","percent-pcd","andar-incendio","max-ticks","coef-co2","peso-calor","numero-ocupantes","peso-congestao","coef-co","coluna-incendio"
"20","0.004","15","1","0.8","3","15","10","10","8000","0.002","10","540","10","0.003","15"

"""Fumaca e Temp. medias"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","600","0","1","true","""fumaca""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""fumaca""","true","0","1","5","589"
"""temp norm.""","true","0","1","15","589"

"""fumaca""",,,,"""temp norm."""
"x","y","color","pen down?","x","y","color","pen down?"
"0","1.0783996549121104E-4","5","true","0","0.041770013300262414","15","true"
"1","2.5860023724792405E-4","5","true","1","0.041873256587224565","15","true"
"2","5.080067267874475E-4","5","true","2","0.04202152040000764","15","true"
"3","9.117474851669319E-4","5","true","3","0.04221471459431671","15","true"
"4","0.0015103049843719436","5","true","4","0.042451944990291146","15","true"
"5","0.0023146396886221817","5","true","5","0.04273050728118326","15","true"
"6","0.0032892316653944514","5","true","6","0.04304580331469325","15","true"
"7","0.0043431002865468495","5","true","7","0.043391711135035656","15","true"
"8","0.00536153924539441","5","true","8","0.04376116891835187","15","true"
"9","0.0062653598415085615","5","true","9","0.044146820958827514","15","true"
"10","0.007039403959578924","5","true","10","0.044541613945775986","15","true"
"11","0.0077287790167496345","5","true","11","0.04493926924196321","15","true"
"12","0.00839199114628734","5","true","12","0.045334595695037415","15","true"
"13","0.009071931057996054","5","true","13","0.04572364132361128","15","true"
"14","0.009797422700967675","5","true","14","0.04610370620407007","15","true"
"15","0.010571934577128045","5","true","15","0.04647325176510222","15","true"
"16","0.01140144659472651","5","true","16","0.04683174486995257","15","true"
"17","0.012307193932666247","5","true","17","0.04717947131457064","15","true"
"18","0.013308427866264962","5","true","18","0.047517345774753444","15","true"
"19","0.014426296437870124","5","true","19","0.047846736444830125","15","true"
"20","0.01566888780627444","5","true","20","0.04816931448065092","15","true"
"21","0.017039464483269588","5","true","21","0.048486931906190404","15","true"
"22","0.018529530641635667","5","true","22","0.048801527187331065","15","true"
"23","0.020119795013510685","5","true","23","0.049115055073514394","15","true"
"24","0.02175626283211982","5","true","24","0.04942943617086291","15","true"
"25","0.02337431937707207","5","true","25","0.049746521583455376","15","true"
"26","0.02495175574998043","5","true","26","0.050068068427919825","15","true"
"27","0.026492237760039804","5","true","27","0.05039572276902902","15","true"
"28","0.0279678828463887","5","true","28","0.05073100732390589","15","true"
"29","0.02930744648525948","5","true","29","0.05107531201533451","15","true"
"30","0.030449312060838687","5","true","30","0.0514298860652805","15","true"
"31","0.031367847168805016","5","true","31","0.05179583079786901","15","true"
"32","0.03206455486803267","5","true","32","0.05217409268116068","15","true"
"33","0.03256259440308521","5","true","33","0.05256545640326067","15","true"
"34","0.03290101842213791","5","true","34","0.05297053797511139","15","true"
"35","0.03313011936502626","5","true","35","0.05338977799985325","15","true"
"36","0.03330309670495716","5","true","36","0.05382343536083802","15","true"
"37","0.03348491400304842","5","true","37","0.05427158166542161","15","true"
"38","0.03376382516397649","5","true","38","0.05473409684315306","15","true"
