"export-plot data (NetLogo 7.0.4)"
"evacuacao_incendio.nlogo"
"06/07/2026 22:57:09:147 -0300"

"MODEL SETTINGS"
"percent-idosos","coef-calor","linha-incendio","beta-saude","gamma-fadiga","lambda-fumaca","peso-fumaca","percent-pcd","andar-incendio","max-ticks","coef-co2","peso-calor","numero-ocupantes","peso-congestao","coef-co","coluna-incendio"
"50","0.01","5","2","1","3","50","20","12","8000","0.006","50","540","10","0.008","5"

"""Evacuacao x Tempo"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","260","0","540","true","""Evacuados""","true","3"

"pen name","pen down?","mode","interval","color","x"
"""Evacuados""","true","0","1","65","258"
"""Mortos""","true","0","1","15","258"
"""Ativos""","true","0","1","105","258"

"""Evacuados""",,,,"""Mortos""",,,,"""Ativos"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","65","true","0","0","15","true","0","540","105","true"
"1","0","65","true","1","0","15","true","1","540","105","true"
"2","0","65","true","2","0","15","true","2","540","105","true"
"3","1","65","true","3","0","15","true","3","539","105","true"
"4","1","65","true","4","0","15","true","4","539","105","true"
"5","1","65","true","5","0","15","true","5","539","105","true"
"6","2","65","true","6","0","15","true","6","538","105","true"
"7","2","65","true","7","0","15","true","7","538","105","true"
"8","3","65","true","8","0","15","true","8","537","105","true"
"9","3","65","true","9","0","15","true","9","537","105","true"
"10","3","65","true","10","1","15","true","10","536","105","true"
"11","3","65","true","11","1","15","true","11","536","105","true"
"12","4","65","true","12","1","15","true","12","535","105","true"
"13","4","65","true","13","1","15","true","13","535","105","true"
"14","5","65","true","14","1","15","true","14","534","105","true"
"15","5","65","true","15","1","15","true","15","534","105","true"
"16","6","65","true","16","1","15","true","16","533","105","true"
"17","7","65","true","17","1","15","true","17","532","105","true"
"18","7","65","true","18","2","15","true","18","531","105","true"
"19","7","65","true","19","2","15","true","19","531","105","true"
"20","7","65","true","20","4","15","true","20","529","105","true"
"21","7","65","true","21","6","15","true","21","527","105","true"
"22","8","65","true","22","7","15","true","22","525","105","true"
"23","9","65","true","23","8","15","true","23","523","105","true"
"24","10","65","true","24","10","15","true","24","520","105","true"
"25","11","65","true","25","11","15","true","25","518","105","true"
"26","13","65","true","26","13","15","true","26","514","105","true"
"27","13","65","true","27","19","15","true","27","508","105","true"
"28","16","65","true","28","20","15","true","28","504","105","true"
"29","16","65","true","29","23","15","true","29","501","105","true"
"30","17","65","true","30","29","15","true","30","494","105","true"
"31","18","65","true","31","35","15","true","31","487","105","true"
"32","19","65","true","32","44","15","true","32","477","105","true"
"33","20","65","true","33","51","15","true","33","469","105","true"
"34","23","65","true","34","58","15","true","34","459","105","true"
"35","24","65","true","35","68","15","true","35","448","105","true"
"36","25","65","true","36","71","15","true","36","444","105","true"
"37","26","65","true","37","79","15","true","37","435","105","true"
"38","28","65","true","38","92","15","true","38","420","105","true"
"39","29","65","true","39","106","15","true","39","405","105","true"
"40","31","65","true","40","118","15","true","40","391","105","true"
"41","32","65","true","41","126","15","true","41","382","105","true"
"42","33","65","true","42","138","15","true","42","369","105","true"
"43","34","65","true","43","146","15","true","43","360","105","true"
"44","35","65","true","44","160","15","true","44","345","105","true"
"45","38","65","true","45","176","15","true","45","326","105","true"
"46","40","65","true","46","185","15","true","46","315","105","true"
"47","41","65","true","47","194","15","true","47","305","105","true"
"48","43","65","true","48","210","15","true","48","287","105","true"
