"export-plot data (NetLogo 7.0.4)"
"evacuacao_incendio.nlogo"
"06/07/2026 22:57:19:437 -0300"

"MODEL SETTINGS"
"percent-idosos","coef-calor","linha-incendio","beta-saude","gamma-fadiga","lambda-fumaca","peso-fumaca","percent-pcd","andar-incendio","max-ticks","coef-co2","peso-calor","numero-ocupantes","peso-congestao","coef-co","coluna-incendio"
"50","0.01","5","2","1","3","50","20","12","8000","0.006","50","540","10","0.008","5"

"""Evacuados por perfil"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","260","0","120","true","""Adulto""","true","3"

"pen name","pen down?","mode","interval","color","x"
"""Adulto""","true","0","1","105","258"
"""Idoso""","true","0","1","25","258"
"""PcD""","true","0","1","115","258"

"""Adulto""",,,,"""Idoso""",,,,"""PcD"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","105","true","0","0","25","true","0","0","115","true"
"1","0","105","true","1","0","25","true","1","0","115","true"
"2","0","105","true","2","0","25","true","2","0","115","true"
"3","1","105","true","3","0","25","true","3","0","115","true"
"4","1","105","true","4","0","25","true","4","0","115","true"
"5","1","105","true","5","0","25","true","5","0","115","true"
"6","2","105","true","6","0","25","true","6","0","115","true"
"7","2","105","true","7","0","25","true","7","0","115","true"
"8","3","105","true","8","0","25","true","8","0","115","true"
"9","3","105","true","9","0","25","true","9","0","115","true"
"10","3","105","true","10","0","25","true","10","0","115","true"
"11","3","105","true","11","0","25","true","11","0","115","true"
"12","3","105","true","12","1","25","true","12","0","115","true"
"13","3","105","true","13","1","25","true","13","0","115","true"
"14","3","105","true","14","2","25","true","14","0","115","true"
"15","3","105","true","15","2","25","true","15","0","115","true"
"16","3","105","true","16","2","25","true","16","1","115","true"
"17","4","105","true","17","2","25","true","17","1","115","true"
"18","4","105","true","18","2","25","true","18","1","115","true"
"19","4","105","true","19","2","25","true","19","1","115","true"
"20","4","105","true","20","2","25","true","20","1","115","true"
"21","4","105","true","21","2","25","true","21","1","115","true"
"22","5","105","true","22","2","25","true","22","1","115","true"
"23","5","105","true","23","3","25","true","23","1","115","true"
"24","5","105","true","24","4","25","true","24","1","115","true"
"25","5","105","true","25","4","25","true","25","2","115","true"
"26","6","105","true","26","5","25","true","26","2","115","true"
"27","6","105","true","27","5","25","true","27","2","115","true"
"28","9","105","true","28","5","25","true","28","2","115","true"
"29","9","105","true","29","5","25","true","29","2","115","true"
"30","9","105","true","30","6","25","true","30","2","115","true"
"31","10","105","true","31","6","25","true","31","2","115","true"
"32","11","105","true","32","6","25","true","32","2","115","true"
"33","11","105","true","33","7","25","true","33","2","115","true"
"34","13","105","true","34","8","25","true","34","2","115","true"
"35","14","105","true","35","8","25","true","35","2","115","true"
"36","15","105","true","36","8","25","true","36","2","115","true"
"37","16","105","true","37","8","25","true","37","2","115","true"
"38","17","105","true","38","9","25","true","38","2","115","true"
"39","18","105","true","39","9","25","true","39","2","115","true"
"40","19","105","true","40","10","25","true","40","2","115","true"
"41","20","105","true","41","10","25","true","41","2","115","true"
"42","21","105","true","42","10","25","true","42","2","115","true"
"43","22","105","true","43","10","25","true","43","2","115","true"
"44","23","105","true","44","10","25","true","44","2","115","true"
"45","24","105","true","45","11","25","true","45","3","115","true"
"46","26","105","true","46","11","25","true","46","3","115","true"
"47","27","105","true","47","11","25","true","47","3","115","true"
"48","29","105","true","48","11","25","true","48","3","115","true"
"49","29","105","true","49","12","25","true","49","3","115","true"
"50","31","105","true","50","12","25","true","50","3","115","true"
"51","33","105","true","51","12","25","true","51","3","115","true"
"52","35","105","true","52","12","25","true","52","3","115","true"
"53","36","105","true","53","12","25","true","53","3","115","true"
"54","36","105","true","54","13","25","true","54","3","115","true"
"55","37","105","true","55","13","25","true","55","4","115","true"
"56","38","105","true","56","13","25","true","56","4","115","true"
"57","39","105","true","57","14","25","true","57","4","115","true"
"58","39","105","true","58","14","25","true","58","4","115","true"
"59","41","105","true","59","15","25","true","59","4","115","true"
"60","41","105","true","60","16","25","true","60","4","115","true"
"61","42","105","true","61","16","25","true","61","4","115","true"
"62","42","105","true","62","16","25","true","62","4","115","true"
"63","42","105","true","63","18","25","true","63","4","115","true"
"64","42","105","true","64","18","25","true","64","4","115","true"
"65","43","105","true","65","18","25","true","65","4","115","true"
"66","43","105","true","66","18","25","true","66","4","115","true"
"67","44","105","true","67","18","25","true","67","4","115","true"
"68","44","105","true","68","18","25","true","68","4","115","true"
"69","45","105","true","69","19","25","true","69","4","115","true"
"70","45","105","true","70","20","25","true","70","4","115","true"
"71","45","105","true","71","22","25","true","71","4","115","true"
"72","45","105","true","72","22","25","true","72","4","115","true"
"73","45","105","true","73","23","25","true","73","4","115","true"
"74","45","105","true","74","24","25","true","74","4","115","true"
"75","47","105","true","75","25","25","true","75","4","115","true"
"76","48","105","true","76","25","25","true","76","4","115","true"
"77","49","105","true","77","26","25","true","77","4","115","true"
"78","49","105","true","78","26","25","true","78","4","115","true"
"79","49","105","true","79","27","25","true","79","4","115","true"
"80","49","105","true","80","28","25","true","80","4","115","true"
"81","50","105","true","81","29","25","true","81","4","115","true"
"82","51","105","true","82","29","25","true","82","4","115","true"
"83","51","105","true","83","32","25","true","83","4","115","true"
"84","51","105","true","84","32","25","true","84","4","115","true"
"85","52","105","true","85","33","25","true","85","4","115","true"
"86","53","105","true","86","34","25","true","86","4","115","true"
"87","53","105","true","87","35","25","true","87","4","115","true"
"88","54","105","true","88","35","25","true","88","4","115","true"
"89","54","105","true","89","35","25","true","89","4","115","true"
"90","55","105","true","90","36","25","true","90","4","115","true"
"91","55","105","true","91","39","25","true","91","4","115","true"
"92","55","105","true","92","40","25","true","92","4","115","true"
"93","55","105","true","93","40","25","true","93","4","115","true"
"94","55","105","true","94","42","25","true","94","4","115","true"
"95","55","105","true","95","43","25","true","95","4","115","true"
"96","55","105","true","96","43","25","true","96","4","115","true"
"97","56","105","true","97","44","25","true","97","4","115","true"
"98","56","105","true","98","44","25","true","98","4","115","true"
"99","56","105","true","99","44","25","true","99","4","115","true"
"100","56","105","true","100","44","25","true","100","5","115","true"
"101","56","105","true","101","45","25","true","101","5","115","true"
"102","56","105","true","102","46","25","true","102","5","115","true"
"103","56","105","true","103","48","25","true","103","5","115","true"
"104","56","105","true","104","49","25","true","104","5","115","true"
"105","57","105","true","105","49","25","true","105","5","115","true"
"106","57","105","true","106","50","25","true","106","5","115","true"
"107","58","105","true","107","50","25","true","107","5","115","true"
"108","58","105","true","108","50","25","true","108","5","115","true"
"109","58","105","true","109","52","25","true","109","5","115","true"
"110","58","105","true","110","52","25","true","110","5","115","true"
"111","59","105","true","111","54","25","true","111","5","115","true"
"112","59","105","true","112","55","25","true","112","5","115","true"
"113","59","105","true","113","56","25","true","113","5","115","true"
"114","59","105","true","114","57","25","true","114","5","115","true"
"115","60","105","true","115","57","25","true","115","5","115","true"
"116","60","105","true","116","57","25","true","116","5","115","true"
"117","60","105","true","117","58","25","true","117","5","115","true"
"118","60","105","true","118","59","25","true","118","5","115","true"
"119","60","105","true","119","60","25","true","119","5","115","true"
"120","60","105","true","120","61","25","true","120","5","115","true"
"121","60","105","true","121","62","25","true","121","5","115","true"
"122","60","105","true","122","62","25","true","122","6","115","true"
"123","60","105","true","123","62","25","true","123","6","115","true"
"124","60","105","true","124","63","25","true","124","6","115","true"
"125","60","105","true","125","63","25","true","125","6","115","true"
"126","60","105","true","126","63","25","true","126","6","115","true"
"127","60","105","true","127","65","25","true","127","6","115","true"
"128","60","105","true","128","65","25","true","128","6","115","true"
"129","60","105","true","129","65","25","true","129","6","115","true"
"130","60","105","true","130","66","25","true","130","7","115","true"
"131","60","105","true","131","66","25","true","131","7","115","true"
"132","60","105","true","132","67","25","true","132","7","115","true"
"133","60","105","true","133","67","25","true","133","7","115","true"
"134","60","105","true","134","68","25","true","134","7","115","true"
"135","60","105","true","135","69","25","true","135","8","115","true"
"136","60","105","true","136","70","25","true","136","8","115","true"
"137","61","105","true","137","70","25","true","137","8","115","true"
"138","61","105","true","138","70","25","true","138","8","115","true"
"139","61","105","true","139","71","25","true","139","8","115","true"
"140","61","105","true","140","72","25","true","140","8","115","true"
"141","62","105","true","141","72","25","true","141","8","115","true"
"142","62","105","true","142","72","25","true","142","8","115","true"
"143","62","105","true","143","72","25","true","143","9","115","true"
"144","62","105","true","144","72","25","true","144","9","115","true"
"145","62","105","true","145","73","25","true","145","9","115","true"
"146","62","105","true","146","75","25","true","146","9","115","true"
"147","62","105","true","147","75","25","true","147","9","115","true"
"148","63","105","true","148","75","25","true","148","11","115","true"
"149","63","105","true","149","77","25","true","149","11","115","true"
"150","64","105","true","150","78","25","true","150","11","115","true"
"151","65","105","true","151","78","25","true","151","11","115","true"
"152","65","105","true","152","80","25","true","152","11","115","true"
"153","65","105","true","153","81","25","true","153","11","115","true"
"154","65","105","true","154","82","25","true","154","11","115","true"
"155","65","105","true","155","83","25","true","155","11","115","true"
"156","65","105","true","156","83","25","true","156","11","115","true"
"157","65","105","true","157","83","25","true","157","12","115","true"
"158","66","105","true","158","83","25","true","158","12","115","true"
"159","66","105","true","159","83","25","true","159","12","115","true"
"160","67","105","true","160","84","25","true","160","13","115","true"
"161","67","105","true","161","85","25","true","161","13","115","true"
"162","67","105","true","162","86","25","true","162","13","115","true"
"163","67","105","true","163","88","25","true","163","13","115","true"
"164","67","105","true","164","88","25","true","164","13","115","true"
"165","67","105","true","165","88","25","true","165","14","115","true"
"166","67","105","true","166","88","25","true","166","14","115","true"
"167","67","105","true","167","88","25","true","167","14","115","true"
"168","67","105","true","168","89","25","true","168","14","115","true"
"169","67","105","true","169","89","25","true","169","15","115","true"
"170","67","105","true","170","90","25","true","170","15","115","true"
"171","67","105","true","171","90","25","true","171","15","115","true"
"172","67","105","true","172","91","25","true","172","15","115","true"
"173","67","105","true","173","92","25","true","173","15","115","true"
"174","67","105","true","174","92","25","true","174","16","115","true"
"175","67","105","true","175","93","25","true","175","16","115","true"
"176","67","105","true","176","93","25","true","176","16","115","true"
"177","67","105","true","177","93","25","true","177","16","115","true"
"178","67","105","true","178","94","25","true","178","16","115","true"
"179","67","105","true","179","95","25","true","179","16","115","true"
"180","68","105","true","180","95","25","true","180","17","115","true"
"181","69","105","true","181","95","25","true","181","17","115","true"
"182","69","105","true","182","95","25","true","182","17","115","true"
"183","69","105","true","183","96","25","true","183","17","115","true"
"184","69","105","true","184","96","25","true","184","17","115","true"
"185","69","105","true","185","97","25","true","185","18","115","true"
"186","69","105","true","186","98","25","true","186","18","115","true"
"187","70","105","true","187","98","25","true","187","18","115","true"
"188","70","105","true","188","98","25","true","188","18","115","true"
"189","70","105","true","189","99","25","true","189","18","115","true"
"190","70","105","true","190","100","25","true","190","18","115","true"
"191","70","105","true","191","100","25","true","191","18","115","true"
"192","70","105","true","192","102","25","true","192","19","115","true"
"193","70","105","true","193","102","25","true","193","19","115","true"
"194","70","105","true","194","102","25","true","194","19","115","true"
"195","70","105","true","195","102","25","true","195","21","115","true"
"196","70","105","true","196","102","25","true","196","21","115","true"
"197","70","105","true","197","103","25","true","197","22","115","true"
"198","70","105","true","198","103","25","true","198","23","115","true"
"199","70","105","true","199","103","25","true","199","23","115","true"
"200","70","105","true","200","103","25","true","200","23","115","true"
"201","70","105","true","201","104","25","true","201","23","115","true"
"202","70","105","true","202","104","25","true","202","23","115","true"
"203","70","105","true","203","104","25","true","203","25","115","true"
"204","70","105","true","204","104","25","true","204","25","115","true"
"205","70","105","true","205","105","25","true","205","25","115","true"
"206","70","105","true","206","105","25","true","206","25","115","true"
"207","70","105","true","207","106","25","true","207","26","115","true"
"208","70","105","true","208","106","25","true","208","26","115","true"
"209","70","105","true","209","107","25","true","209","26","115","true"
"210","70","105","true","210","107","25","true","210","27","115","true"
"211","70","105","true","211","107","25","true","211","28","115","true"
"212","70","105","true","212","107","25","true","212","28","115","true"
"213","70","105","true","213","107","25","true","213","28","115","true"
"214","70","105","true","214","108","25","true","214","29","115","true"
"215","70","105","true","215","108","25","true","215","29","115","true"
"216","70","105","true","216","108","25","true","216","29","115","true"
"217","70","105","true","217","108","25","true","217","30","115","true"
"218","70","105","true","218","108","25","true","218","32","115","true"
"219","70","105","true","219","108","25","true","219","32","115","true"
"220","70","105","true","220","108","25","true","220","32","115","true"
"221","70","105","true","221","108","25","true","221","32","115","true"
"222","70","105","true","222","109","25","true","222","32","115","true"
"223","70","105","true","223","109","25","true","223","33","115","true"
"224","70","105","true","224","109","25","true","224","34","115","true"
"225","70","105","true","225","109","25","true","225","34","115","true"
"226","70","105","true","226","109","25","true","226","34","115","true"
"227","70","105","true","227","110","25","true","227","35","115","true"
"228","70","105","true","228","110","25","true","228","35","115","true"
"229","70","105","true","229","110","25","true","229","35","115","true"
"230","70","105","true","230","110","25","true","230","36","115","true"
"231","70","105","true","231","110","25","true","231","36","115","true"
"232","70","105","true","232","110","25","true","232","37","115","true"
"233","70","105","true","233","110","25","true","233","37","115","true"
"234","70","105","true","234","110","25","true","234","40","115","true"
"235","70","105","true","235","110","25","true","235","40","115","true"
"236","70","105","true","236","110","25","true","236","40","115","true"
"237","70","105","true","237","111","25","true","237","40","115","true"
"238","70","105","true","238","111","25","true","238","40","115","true"
"239","70","105","true","239","111","25","true","239","40","115","true"
"240","70","105","true","240","111","25","true","240","41","115","true"
"241","70","105","true","241","111","25","true","241","42","115","true"
"242","70","105","true","242","111","25","true","242","42","115","true"
"243","70","105","true","243","111","25","true","243","42","115","true"
"244","70","105","true","244","111","25","true","244","43","115","true"
"245","70","105","true","245","111","25","true","245","43","115","true"
"246","70","105","true","246","111","25","true","246","43","115","true"
"247","70","105","true","247","111","25","true","247","45","115","true"
"248","70","105","true","248","112","25","true","248","46","115","true"
"249","70","105","true","249","112","25","true","249","46","115","true"
"250","70","105","true","250","112","25","true","250","46","115","true"
"251","70","105","true","251","112","25","true","251","46","115","true"
"252","70","105","true","252","112","25","true","252","46","115","true"
"253","70","105","true","253","112","25","true","253","46","115","true"
"254","70","105","true","254","112","25","true","254","47","115","true"
"255","70","105","true","255","112","25","true","255","47","115","true"
"256","70","105","true","256","112","25","true","256","47","115","true"
"257","70","105","true","257","112","25","true","257","47","115","true"
"258","71","105","true","258","112","25","true","258","47","115","true"
