"export-plot data (NetLogo 7.0.4)"
"evacuacao_incendio.nlogo"
"06/07/2026 22:57:17:145 -0300"

"MODEL SETTINGS"
"percent-idosos","coef-calor","linha-incendio","beta-saude","gamma-fadiga","lambda-fumaca","peso-fumaca","percent-pcd","andar-incendio","max-ticks","coef-co2","peso-calor","numero-ocupantes","peso-congestao","coef-co","coluna-incendio"
"50","0.01","5","2","1","3","50","20","12","8000","0.006","50","540","10","0.008","5"

"""Fumaca e Temp. medias"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","260","0","1","true","""fumaca""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""fumaca""","true","0","1","5","258"
"""temp norm.""","true","0","1","15","258"

"""fumaca""",,,,"""temp norm."""
"x","y","color","pen down?","x","y","color","pen down?"
"0","1.0783996549121104E-4","5","true","0","0.041770013300262414","15","true"
"1","2.5860023724792405E-4","5","true","1","0.041873256587224565","15","true"
"2","5.080067267874474E-4","5","true","2","0.04202152040000764","15","true"
"3","9.117474851669319E-4","5","true","3","0.0422147145943167","15","true"
"4","0.0015133781133485423","5","true","4","0.04245274916112496","15","true"
"5","0.0023391097466668766","5","true","5","0.04273523296399451","15","true"
"6","0.0033939550088331397","5","true","6","0.04306090682083177","15","true"
"7","0.004643435119405286","5","true","7","0.043427247590406365","15","true"
"8","0.0059880282658419815","5","true","8","0.043830369481821244","15","true"
"9","0.007284697488763942","5","true","9","0.044265203528272526","15","true"
"10","0.008432755619239413","5","true","10","0.04472588280815177","15","true"
"11","0.009441687573888418","5","true","11","0.04520624177512104","15","true"
"12","0.01039709070171564","5","true","12","0.04570033687832042","15","true"
"13","0.011427032613892144","5","true","13","0.046202910387110684","15","true"
"14","0.012634770721159901","5","true","14","0.04670974552742375","15","true"
"15","0.0140880192964974","5","true","15","0.04721789071181834","15","true"
"16","0.01587146648738248","5","true","16","0.047725756235620045","15","true"
"17","0.018098903355138824","5","true","17","0.048233103976976395","15","true"
"18","0.020870101393830314","5","true","18","0.048740958642457366","15","true"
"19","0.024283127157169387","5","true","19","0.049251469673227216","15","true"
"20","0.02842481137872037","5","true","20","0.049767748801761616","15","true"
"21","0.03335930054290572","5","true","21","0.0502937020451571","15","true"
"22","0.03912040432937945","5","true","22","0.05083386857156299","15","true"
"23","0.04570117553468739","5","true","23","0.05139327349731243","15","true"
"24","0.05312028838225993","5","true","24","0.051977297692447424","15","true"
"25","0.06144351610290234","5","true","25","0.05259156506111715","15","true"
"26","0.07068321142153812","5","true","26","0.05324184625495921","15","true"
"27","0.08074573850455694","5","true","27","0.05393397703925898","15","true"
"28","0.09146654275321384","5","true","28","0.05467378926558958","15","true"
"29","0.10267862167665195","5","true","29","0.055467052392471544","15","true"
"30","0.11423604869926357","5","true","30","0.05631942360386822","15","true"
"31","0.12602463949617732","5","true","31","0.05723640473885012","15","true"
"32","0.13799135184547573","5","true","32","0.058223304443411124","15","true"
"33","0.15012789750564018","5","true","33","0.05928520418740109","15","true"
"34","0.16244525719885983","5","true","34","0.060426927060330676","15","true"
"35","0.1749791305238156","5","true","35","0.06165300856821249","15","true"
"36","0.18775494726089087","5","true","36","0.06296766898897309","15","true"
"37","0.20079958939573664","5","true","37","0.06437478718688824","15","true"
"38","0.21414727913649223","5","true","38","0.06587787611201933","15","true"
"39","0.22784968509039466","5","true","39","0.0674800604926061","15","true"
"40","0.24197443687941883","5","true","40","0.06918405744348845","15","true"
"41","0.25658652221884354","5","true","41","0.07099216084464745","15","true"
"42","0.27175021120285736","5","true","42","0.07290623038175843","15","true"
"43","0.2875010073871819","5","true","43","0.07492768608498586","15","true"
"44","0.3038821842080122","5","true","44","0.07705750906120029","15","true"
"45","0.32095158211182045","5","true","45","0.07929624890364799","15","true"
"46","0.3387928338511316","5","true","46","0.081644038002108","15","true"
"47","0.357466691870017","5","true","47","0.08410061268880305","15","true"
"48","0.376909957017189","5","true","48","0.08666534086433096","15","true"
"49","0.3969505764033215","5","true","49","0.08933725547538944","15","true"
"50","0.41729992894799595","5","true","50","0.09211509298054588","15","true"
"51","0.4376103392069736","5","true","51","0.09499733575552255","15","true"
"52","0.457512979175204","5","true","52","0.09798225726404626","15","true"
"53","0.4766448869532538","5","true","53","0.1010679687575867","15","true"
"54","0.4946944325368412","5","true","54","0.10425246626571417","15","true"
"55","0.511452460621015","5","true","55","0.10753367669269127","15","true"
"56","0.5268216641005543","5","true","56","0.1109095019364706","15","true"
"57","0.5407618202108623","5","true","57","0.11437786008264027","15","true"
"58","0.5532392994694875","5","true","58","0.11793672288630638","15","true"
"59","0.5641946171166273","5","true","59","0.1215841489276315","15","true"
"60","0.5735533271193561","5","true","60","0.12531831200095497","15","true"
"61","0.5812531972081338","5","true","61","0.12913752446382132","15","true"
"62","0.5872923867119642","5","true","62","0.13304025542337047","15","true"
"63","0.5917749050055212","5","true","63","0.13702514376836994","15","true"
"64","0.5949046849640263","5","true","64","0.1410910061626039","15","true"
"65","0.596950757471553","5","true","65","0.14523684019848415","15","true"
"66","0.5981907923538721","5","true","66","0.14946182296963256","15","true"
"67","0.5988705103876312","5","true","67","0.15376530535996116","15","true"
"68","0.5991976965929113","5","true","68","0.15814680236813686","15","true"
"69","0.5993361166759829","5","true","69","0.16260597979409147","15","true"
"70","0.5993901289867863","5","true","70","0.16714263761294065","15","true"
"71","0.5994107384476942","5","true","71","0.17175669035533386","15","true"
"72","0.5994186921196365","5","true","72","0.17644814480576587","15","true"
"73","0.5994218277889237","5","true","73","0.18121707532470874","15","true"
"74","0.5994230890889092","5","true","74","0.1860635970988603","15","true"
"75","0.5994236044418882","5","true","75","0.1909878376277033","15","true"
"76","0.5994238173881858","5","true","76","0.1959899067642801","15","true"
"77","0.599423906061883","5","true","77","0.2010698656432965","15","true"
"78","0.5994239431795664","5","true","78","0.20622769484901035","15","true"
"79","0.5994239587704017","5","true","79","0.21146326219734424","15","true"
"80","0.5994239653340926","5","true","80","0.21677629052893707","15","true"
"81","0.5994239681015244","5","true","81","0.22216632593026336","15","true"
"82","0.5994239692694917","5","true","82","0.22763270681614628","15","true"
"83","0.5994239697627334","5","true","83","0.2331745343168105","15","true"
"84","0.5994239699711216","5","true","84","0.23879064441438316","15","true"
"85","0.599423970059187","5","true","85","0.24447958226605512","15","true"
"86","0.5994239700964085","5","true","86","0.2502395791331255","15","true"
"87","0.599423970112143","5","true","87","0.2560685323067191","15","true"
"88","0.5994239701187981","5","true","88","0.2619639883822981","15","true"
"89","0.599423970121609","5","true","89","0.26792313018707314","15","true"
"90","0.5994239701227986","5","true","90","0.2739427676082882","15","true"
"91","0.5994239701233034","5","true","91","0.28001933250782957","15","true"
"92","0.5994239701235134","5","true","92","0.2861488778414772","15","true"
"93","0.5994239701236018","5","true","93","0.2923270810314923","15","true"
"94","0.5994239701236436","5","true","94","0.2985492515712681","15","true"
"95","0.5994239701236572","5","true","95","0.3048103427723107","15","true"
"96","0.5994239701236646","5","true","96","0.3111049674989258","15","true"
"97","0.5994239701236672","5","true","97","0.3174274176762163","15","true"
"98","0.5994239701236681","5","true","98","0.32377168730364525","15","true"
"99","0.5994239701236679","5","true","99","0.3301314986607709","15","true"
"100","0.5994239701236695","5","true","100","0.33650033135414037","15","true"
"101","0.5994239701236694","5","true","101","0.34287145382554385","15","true"
"102","0.5994239701236677","5","true","102","0.349237956921631","15","true"
"103","0.5994239701236692","5","true","103","0.35559278911312503","15","true"
"104","0.5994239701236703","5","true","104","0.36192879294820784","15","true"
"105","0.5994239701236673","5","true","105","0.3682387423281942","15","true"
"106","0.5994239701236688","5","true","106","0.3745153802037523","15","true"
"107","0.5994239701236684","5","true","107","0.3807514563056088","15","true"
"108","0.599423970123669","5","true","108","0.3869397645440428","15","true"
"109","0.5994239701236704","5","true","109","0.39307317973540923","15","true"
"110","0.5994239701236689","5","true","110","0.399144693340714","15","true"
"111","0.5994239701236684","5","true","111","0.40514744792978385","15","true"
"112","0.5994239701236694","5","true","112","0.41107477011425037","15","true"
"113","0.5994239701236678","5","true","113","0.41692020172255334","15","true"
"114","0.599423970123668","5","true","114","0.42267752902001665","15","true"
"115","0.5994239701236698","5","true","115","0.42834080980625583","15","true"
"116","0.5994239701236698","5","true","116","0.4339043982503615","15","true"
"117","0.5994239701236691","5","true","117","0.4393629673512779","15","true"
"118","0.599423970123669","5","true","118","0.44471152893641014","15","true"
"119","0.5994239701236707","5","true","119","0.44994545113563805","15","true"
"120","0.5994239701236681","5","true","120","0.4550604732905694","15","true"
"121","0.5994239701236684","5","true","121","0.46005271828013095","15","true"
"122","0.5994239701236695","5","true","122","0.46491870226347193","15","true"
"123","0.5994239701236678","5","true","123","0.46965534185977553","15","true"
"124","0.5994239701236674","5","true","124","0.4742599588018866","15","true"
"125","0.5994239701236703","5","true","125","0.47873028211703617","15","true"
"126","0.5994239701236684","5","true","126","0.48306444790312836","15","true"
"127","0.5994239701236697","5","true","127","0.487260996783164","15","true"
"128","0.5994239701236673","5","true","128","0.49131886913383693","15","true"
"129","0.5994239701236697","5","true","129","0.49523739819634566","15","true"
"130","0.5994239701236695","5","true","130","0.4990163011888773","15","true"
"131","0.5994239701236694","5","true","131","0.5026556685504258","15","true"
"132","0.5994239701236705","5","true","132","0.5061559514546994","15","true"
"133","0.5994239701236685","5","true","133","0.5095179477409719","15","true"
"134","0.5994239701236708","5","true","134","0.5127427864153469","15","true"
"135","0.5994239701236682","5","true","135","0.515831910881661","15","true"
"136","0.5994239701236699","5","true","136","0.5187870610651347","15","true"
"137","0.5994239701236681","5","true","137","0.5216102545948424","15","true"
"138","0.5994239701236687","5","true","138","0.5243037672122836","15","true"
"139","0.5994239701236688","5","true","139","0.5268701125732274","15","true"
"140","0.5994239701236709","5","true","140","0.5293120216084224","15","true"
"141","0.5994239701236692","5","true","141","0.5316324216056781","15","true"
"142","0.5994239701236687","5","true","142","0.5338344151713929","15","true"
"143","0.5994239701236705","5","true","143","0.5359212592238765","15","true"
"144","0.5994239701236669","5","true","144","0.5378963441637264","15","true"
"145","0.5994239701236691","5","true","145","0.5397631733584133","15","true"
"146","0.5994239701236692","5","true","146","0.5415253430689798","15","true"
"147","0.5994239701236689","5","true","147","0.5431865229368171","15","true"
"148","0.5994239701236682","5","true","148","0.5447504371375629","15","true"
"149","0.5994239701236707","5","true","149","0.5462208462978903","15","true"
"150","0.5994239701236683","5","true","150","0.547601530259185","15","true"
"151","0.5994239701236698","5","true","151","0.5488962717599881","15","true"
"152","0.5994239701236702","5","true","152","0.5501088410971439","15","true"
"153","0.5994239701236679","5","true","153","0.5512429818133266","15","true"
"154","0.5994239701236697","5","true","154","0.5523023974469853","15","true"
"155","0.5994239701236681","5","true","155","0.5532907393691178","15","true"
"156","0.599423970123668","5","true","156","0.5542115957203159","15","true"
"157","0.5994239701236698","5","true","157","0.5550684814510631","15","true"
"158","0.5994239701236677","5","true","158","0.5558648294585207","15","true"
"159","0.5994239701236707","5","true","159","0.5566039828039192","15","true"
"160","0.5994239701236685","5","true","160","0.557289187986639","15","true"
"161","0.5994239701236693","5","true","161","0.5579235892434198","15","true"
"162","0.5994239701236698","5","true","162","0.5585102238349416","15","true"
"163","0.5994239701236684","5","true","163","0.5590520182762245","15","true"
"164","0.5994239701236698","5","true","164","0.5595517854626874","15","true"
"165","0.5994239701236722","5","true","165","0.5600122226398455","15","true"
"166","0.5994239701236688","5","true","166","0.5604359101617271","15","true"
"167","0.5994239701236701","5","true","167","0.5608253109808409","15","true"
"168","0.5994239701236671","5","true","168","0.5611827708112266","15","true"
"169","0.5994239701236687","5","true","169","0.561510518905475","15","true"
"170","0.5994239701236678","5","true","170","0.5618106693865532","15","true"
"171","0.5994239701236693","5","true","171","0.5620852230759235","15","true"
"172","0.5994239701236719","5","true","172","0.5623360697606276","15","true"
"173","0.5994239701236687","5","true","173","0.5625649908435701","15","true"
"174","0.5994239701236689","5","true","174","0.5627736623233102","15","true"
"175","0.5994239701236687","5","true","175","0.5629636580520909","15","true"
"176","0.5994239701236673","5","true","176","0.5631364532233559","15","true"
"177","0.5994239701236705","5","true","177","0.5632934280430887","15","true"
"178","0.5994239701236684","5","true","178","0.5634358715421636","15","true"
"179","0.5994239701236681","5","true","179","0.563564985490172","15","true"
"180","0.5994239701236681","5","true","180","0.5636818883743663","15","true"
"181","0.5994239701236678","5","true","181","0.5637876194105741","15","true"
"182","0.5994239701236683","5","true","182","0.5638831425562653","15","true"
"183","0.5994239701236678","5","true","183","0.5639693504988644","15","true"
"184","0.5994239701236709","5","true","184","0.5640470685958762","15","true"
"185","0.5994239701236702","5","true","185","0.5641170587458665","15","true"
"186","0.5994239701236678","5","true","186","0.5641800231726369","15","true"
"187","0.5994239701236688","5","true","187","0.5642366081072411","15","true"
"188","0.599423970123669","5","true","188","0.5642874073552983","15","true"
"189","0.599423970123669","5","true","189","0.5643329657391858","15","true"
"190","0.5994239701236692","5","true","190","0.5643737824070089","15","true"
"191","0.5994239701236681","5","true","191","0.5644103140021822","15","true"
"192","0.5994239701236683","5","true","192","0.5644429776893123","15","true"
"193","0.5994239701236698","5","true","193","0.5644721540336229","15","true"
"194","0.5994239701236662","5","true","194","0.5644981897327128","15","true"
"195","0.5994239701236673","5","true","195","0.564521400200744","15","true"
"196","0.5994239701236692","5","true","196","0.5645420720061819","15","true"
"197","0.5994239701236695","5","true","197","0.5645604651653074","15","true"
"198","0.5994239701236673","5","true","198","0.5645768152945496","15","true"
"199","0.5994239701236685","5","true","199","0.5645913356252616","15","true"
"200","0.5994239701236678","5","true","200","0.5646042188853813","15","true"
"201","0.599423970123669","5","true","201","0.5646156390526513","15","true"
"202","0.5994239701236664","5","true","202","0.5646257529845867","15","true"
"203","0.5994239701236672","5","true","203","0.5646347019305851","15","true"
"204","0.5994239701236688","5","true","204","0.5646426129318044","15","true"
"205","0.5994239701236695","5","true","205","0.5646496001144957","15","true"
