"export-plot data (NetLogo 7.0.4)"
"main.nlogox"
"06/17/2026 22:37:17:498 -0300"

"MODEL SETTINGS"
"usar-brigadistas?","ocupantes-por-andar","coef-difusao-fumaca","posicao-fogo","andar-fogo","taxa-propagacao-fogo","andar-visualizar"
"false","40","0.1","""aleatorio""","2","0.03","2"

"""Curva de Evacuação"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","200","0","640","true","""Evacuados""","false","3"

"pen name","pen down?","mode","interval","color","x"
"""Evacuados""","true","0","1","55","181"
"""Feridos""","true","0","1","125","181"
"""Mortos""","true","0","1","95","181"

"""Evacuados""",,,,"""Feridos""",,,,"""Mortos"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","55","true","0","0","125","true","0","0","95","true"
"1","1","55","true","1","0","125","true","1","0","95","true"
"2","1","55","true","2","0","125","true","2","0","95","true"
"3","1","55","true","3","0","125","true","3","0","95","true"
"4","1","55","true","4","0","125","true","4","0","95","true"
"5","1","55","true","5","0","125","true","5","0","95","true"
"6","1","55","true","6","0","125","true","6","0","95","true"
"7","1","55","true","7","0","125","true","7","0","95","true"
"8","1","55","true","8","0","125","true","8","0","95","true"
"9","1","55","true","9","0","125","true","9","0","95","true"
"10","1","55","true","10","0","125","true","10","0","95","true"
"11","1","55","true","11","0","125","true","11","0","95","true"
"12","1","55","true","12","0","125","true","12","0","95","true"
"13","1","55","true","13","0","125","true","13","0","95","true"
"14","1","55","true","14","0","125","true","14","0","95","true"
"15","1","55","true","15","0","125","true","15","0","95","true"
"16","1","55","true","16","0","125","true","16","0","95","true"
"17","1","55","true","17","0","125","true","17","1","95","true"
"18","1","55","true","18","0","125","true","18","2","95","true"
"19","1","55","true","19","0","125","true","19","2","95","true"
"20","1","55","true","20","0","125","true","20","2","95","true"
"21","2","55","true","21","0","125","true","21","2","95","true"
"22","2","55","true","22","0","125","true","22","3","95","true"
"23","3","55","true","23","0","125","true","23","4","95","true"
"24","5","55","true","24","0","125","true","24","4","95","true"
"25","9","55","true","25","0","125","true","25","4","95","true"
"26","12","55","true","26","0","125","true","26","6","95","true"
"27","21","55","true","27","0","125","true","27","11","95","true"
"28","31","55","true","28","0","125","true","28","12","95","true"
"29","35","55","true","29","0","125","true","29","13","95","true"
"30","40","55","true","30","0","125","true","30","14","95","true"
"31","50","55","true","31","0","125","true","31","17","95","true"
"32","56","55","true","32","1","125","true","32","17","95","true"
"33","59","55","true","33","1","125","true","33","17","95","true"
"34","65","55","true","34","1","125","true","34","18","95","true"
"35","77","55","true","35","0","125","true","35","19","95","true"
"36","85","55","true","36","1","125","true","36","38","95","true"
"37","92","55","true","37","1","125","true","37","45","95","true"
"38","98","55","true","38","1","125","true","38","52","95","true"
"39","107","55","true","39","1","125","true","39","60","95","true"
"40","111","55","true","40","2","125","true","40","68","95","true"
"41","120","55","true","41","3","125","true","41","82","95","true"
"42","124","55","true","42","7","125","true","42","92","95","true"
"43","131","55","true","43","8","125","true","43","96","95","true"
"44","141","55","true","44","8","125","true","44","102","95","true"
"45","152","55","true","45","10","125","true","45","109","95","true"
"46","163","55","true","46","9","125","true","46","119","95","true"
"47","172","55","true","47","10","125","true","47","131","95","true"
"48","181","55","true","48","15","125","true","48","139","95","true"
"49","189","55","true","49","20","125","true","49","149","95","true"
"50","196","55","true","50","26","125","true","50","153","95","true"
