"export-plot data (NetLogo 7.0.4)"
"main.nlogox"
"06/17/2026 23:05:31:401 -0300"

"MODEL SETTINGS"
"usar-brigadistas?","ocupantes-por-andar","coef-difusao-fumaca","posicao-fogo","andar-fogo","taxa-propagacao-fogo","andar-visualizar"
"true","40","0.1","""aleatorio""","2","0.03","2"

"""Curva de Evacuação"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","200","0","900","true","""Evacuados""","false","3"

"pen name","pen down?","mode","interval","color","x"
"""Evacuados""","true","0","1","55","188"
"""Feridos""","true","0","1","125","188"
"""Mortos""","true","0","1","95","188"

"""Evacuados""",,,,"""Feridos""",,,,"""Mortos"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","55","true","0","0","125","true","0","0","95","true"
"1","0","55","true","1","0","125","true","1","0","95","true"
"2","0","55","true","2","0","125","true","2","0","95","true"
"3","0","55","true","3","0","125","true","3","0","95","true"
"4","0","55","true","4","0","125","true","4","0","95","true"
"5","0","55","true","5","0","125","true","5","0","95","true"
"6","0","55","true","6","0","125","true","6","0","95","true"
"7","0","55","true","7","0","125","true","7","0","95","true"
"8","0","55","true","8","0","125","true","8","0","95","true"
"9","0","55","true","9","0","125","true","9","0","95","true"
"10","0","55","true","10","0","125","true","10","0","95","true"
"11","0","55","true","11","0","125","true","11","0","95","true"
"12","0","55","true","12","0","125","true","12","0","95","true"
"13","0","55","true","13","0","125","true","13","0","95","true"
"14","0","55","true","14","0","125","true","14","0","95","true"
"15","0","55","true","15","0","125","true","15","0","95","true"
"16","0","55","true","16","0","125","true","16","1","95","true"
"17","0","55","true","17","0","125","true","17","1","95","true"
"18","1","55","true","18","0","125","true","18","1","95","true"
"19","2","55","true","19","0","125","true","19","1","95","true"
"20","2","55","true","20","0","125","true","20","1","95","true"
"21","3","55","true","21","0","125","true","21","1","95","true"
"22","4","55","true","22","0","125","true","22","1","95","true"
"23","5","55","true","23","0","125","true","23","1","95","true"
"24","8","55","true","24","0","125","true","24","2","95","true"
"25","15","55","true","25","0","125","true","25","4","95","true"
"26","24","55","true","26","0","125","true","26","4","95","true"
"27","35","55","true","27","0","125","true","27","4","95","true"
"28","40","55","true","28","0","125","true","28","4","95","true"
"29","47","55","true","29","0","125","true","29","4","95","true"
"30","55","55","true","30","0","125","true","30","4","95","true"
"31","67","55","true","31","0","125","true","31","4","95","true"
"32","78","55","true","32","0","125","true","32","4","95","true"
"33","90","55","true","33","0","125","true","33","4","95","true"
"34","103","55","true","34","0","125","true","34","4","95","true"
"35","115","55","true","35","0","125","true","35","4","95","true"
"36","127","55","true","36","0","125","true","36","4","95","true"
"37","135","55","true","37","0","125","true","37","4","95","true"
"38","146","55","true","38","0","125","true","38","4","95","true"
"39","157","55","true","39","0","125","true","39","4","95","true"
"40","172","55","true","40","0","125","true","40","4","95","true"
"41","185","55","true","41","0","125","true","41","4","95","true"
"42","199","55","true","42","0","125","true","42","4","95","true"
"43","217","55","true","43","0","125","true","43","4","95","true"
"44","230","55","true","44","0","125","true","44","4","95","true"
"45","243","55","true","45","0","125","true","45","4","95","true"
"46","253","55","true","46","1","125","true","46","4","95","true"
"47","266","55","true","47","1","125","true","47","4","95","true"
"48","278","55","true","48","1","125","true","48","4","95","true"
"49","290","55","true","49","1","125","true","49","4","95","true"
"50","307","55","true","50","1","125","true","50","4","95","true"
"51","325","55","true","51","1","125","true","51","4","95","true"
"52","334","55","true","52","1","125","true","52","4","95","true"
"53","344","55","true","53","1","125","true","53","4","95","true"
"54","358","55","true","54","1","125","true","54","4","95","true"
"55","372","55","true","55","1","125","true","55","4","95","true"
"56","390","55","true","56","1","125","true","56","4","95","true"
"57","407","55","true","57","1","125","true","57","4","95","true"
"58","424","55","true","58","1","125","true","58","4","95","true"
"59","447","55","true","59","1","125","true","59","4","95","true"
"60","461","55","true","60","1","125","true","60","4","95","true"
"61","479","55","true","61","1","125","true","61","4","95","true"
"62","488","55","true","62","1","125","true","62","4","95","true"
"63","502","55","true","63","1","125","true","63","4","95","true"
"64","518","55","true","64","1","125","true","64","4","95","true"
"65","530","55","true","65","1","125","true","65","4","95","true"
"66","540","55","true","66","1","125","true","66","4","95","true"
"67","554","55","true","67","1","125","true","67","4","95","true"
"68","566","55","true","68","1","125","true","68","4","95","true"
"69","582","55","true","69","1","125","true","69","4","95","true"
"70","595","55","true","70","1","125","true","70","4","95","true"
"71","608","55","true","71","1","125","true","71","4","95","true"
"72","620","55","true","72","1","125","true","72","4","95","true"
"73","635","55","true","73","1","125","true","73","4","95","true"
"74","644","55","true","74","1","125","true","74","4","95","true"
"75","656","55","true","75","1","125","true","75","4","95","true"
"76","666","55","true","76","1","125","true","76","4","95","true"
"77","676","55","true","77","1","125","true","77","4","95","true"
"78","683","55","true","78","1","125","true","78","4","95","true"
"79","689","55","true","79","1","125","true","79","4","95","true"
"80","697","55","true","80","1","125","true","80","6","95","true"
"81","705","55","true","81","1","125","true","81","6","95","true"
"82","714","55","true","82","1","125","true","82","6","95","true"
"83","724","55","true","83","1","125","true","83","6","95","true"
"84","735","55","true","84","2","125","true","84","6","95","true"
"85","747","55","true","85","5","125","true","85","7","95","true"
"86","759","55","true","86","3","125","true","86","14","95","true"
"87","768","55","true","87","3","125","true","87","14","95","true"
"88","771","55","true","88","3","125","true","88","14","95","true"
"89","780","55","true","89","3","125","true","89","14","95","true"
"90","787","55","true","90","3","125","true","90","16","95","true"
"91","792","55","true","91","3","125","true","91","21","95","true"
"92","793","55","true","92","3","125","true","92","24","95","true"
"93","797","55","true","93","3","125","true","93","27","95","true"
"94","803","55","true","94","3","125","true","94","31","95","true"
"95","804","55","true","95","3","125","true","95","32","95","true"
"96","806","55","true","96","3","125","true","96","34","95","true"
"97","810","55","true","97","3","125","true","97","35","95","true"
"98","818","55","true","98","3","125","true","98","38","95","true"
"99","822","55","true","99","3","125","true","99","38","95","true"
"100","824","55","true","100","3","125","true","100","44","95","true"
"101","832","55","true","101","3","125","true","101","46","95","true"
"102","836","55","true","102","3","125","true","102","59","95","true"
"103","841","55","true","103","3","125","true","103","68","95","true"
"104","842","55","true","104","3","125","true","104","71","95","true"
"105","846","55","true","105","4","125","true","105","78","95","true"
"106","852","55","true","106","5","125","true","106","81","95","true"
"107","852","55","true","107","7","125","true","107","84","95","true"
"108","854","55","true","108","9","125","true","108","90","95","true"
"109","857","55","true","109","10","125","true","109","92","95","true"
"110","857","55","true","110","11","125","true","110","96","95","true"
"111","858","55","true","111","12","125","true","111","98","95","true"
"112","859","55","true","112","13","125","true","112","101","95","true"
"113","860","55","true","113","16","125","true","113","105","95","true"
"114","863","55","true","114","18","125","true","114","105","95","true"
"115","869","55","true","115","19","125","true","115","109","95","true"
"116","871","55","true","116","21","125","true","116","113","95","true"
"117","872","55","true","117","24","125","true","117","123","95","true"
"118","872","55","true","118","27","125","true","118","128","95","true"
"119","872","55","true","119","29","125","true","119","130","95","true"
"120","873","55","true","120","34","125","true","120","134","95","true"
"121","873","55","true","121","31","125","true","121","140","95","true"
"122","873","55","true","122","31","125","true","122","145","95","true"
"123","873","55","true","123","30","125","true","123","150","95","true"
"124","874","55","true","124","39","125","true","124","155","95","true"
"125","874","55","true","125","42","125","true","125","160","95","true"
"126","874","55","true","126","39","125","true","126","168","95","true"
"127","874","55","true","127","30","125","true","127","184","95","true"
"128","874","55","true","128","30","125","true","128","190","95","true"
"129","874","55","true","129","31","125","true","129","194","95","true"
"130","874","55","true","130","31","125","true","130","195","95","true"
"131","874","55","true","131","29","125","true","131","205","95","true"
"132","874","55","true","132","31","125","true","132","208","95","true"
"133","874","55","true","133","35","125","true","133","210","95","true"
"134","874","55","true","134","36","125","true","134","216","95","true"
"135","874","55","true","135","44","125","true","135","218","95","true"
"136","874","55","true","136","48","125","true","136","221","95","true"
"137","874","55","true","137","50","125","true","137","224","95","true"
"138","874","55","true","138","56","125","true","138","228","95","true"
"139","874","55","true","139","52","125","true","139","234","95","true"
"140","874","55","true","140","60","125","true","140","235","95","true"
"141","874","55","true","141","66","125","true","141","239","95","true"
"142","874","55","true","142","72","125","true","142","243","95","true"
"143","874","55","true","143","63","125","true","143","253","95","true"
"144","874","55","true","144","53","125","true","144","263","95","true"
"145","874","55","true","145","49","125","true","145","269","95","true"
"146","874","55","true","146","44","125","true","146","278","95","true"
"147","874","55","true","147","45","125","true","147","280","95","true"
"148","874","55","true","148","39","125","true","148","287","95","true"
"149","874","55","true","149","37","125","true","149","291","95","true"
"150","874","55","true","150","36","125","true","150","294","95","true"
"151","874","55","true","151","34","125","true","151","297","95","true"
"152","874","55","true","152","33","125","true","152","299","95","true"
"153","874","55","true","153","29","125","true","153","304","95","true"
"154","874","55","true","154","26","125","true","154","307","95","true"
"155","874","55","true","155","24","125","true","155","309","95","true"
"156","874","55","true","156","22","125","true","156","311","95","true"
"157","874","55","true","157","20","125","true","157","314","95","true"
"158","874","55","true","158","20","125","true","158","314","95","true"
"159","874","55","true","159","19","125","true","159","315","95","true"
"160","874","55","true","160","20","125","true","160","315","95","true"
"161","874","55","true","161","19","125","true","161","316","95","true"
"162","874","55","true","162","19","125","true","162","316","95","true"
"163","875","55","true","163","19","125","true","163","316","95","true"
"164","876","55","true","164","19","125","true","164","316","95","true"
"165","877","55","true","165","18","125","true","165","317","95","true"
"166","877","55","true","166","18","125","true","166","317","95","true"
"167","877","55","true","167","18","125","true","167","317","95","true"
"168","877","55","true","168","18","125","true","168","317","95","true"
"169","879","55","true","169","18","125","true","169","317","95","true"
"170","879","55","true","170","18","125","true","170","317","95","true"
"171","879","55","true","171","18","125","true","171","317","95","true"
"172","879","55","true","172","18","125","true","172","317","95","true"
"173","879","55","true","173","18","125","true","173","317","95","true"
"174","879","55","true","174","18","125","true","174","317","95","true"
"175","879","55","true","175","18","125","true","175","317","95","true"
"176","879","55","true","176","18","125","true","176","317","95","true"
"177","879","55","true","177","18","125","true","177","317","95","true"
"178","879","55","true","178","18","125","true","178","317","95","true"
"179","880","55","true","179","18","125","true","179","317","95","true"
"180","880","55","true","180","18","125","true","180","317","95","true"
"181","880","55","true","181","18","125","true","181","317","95","true"
"182","880","55","true","182","18","125","true","182","317","95","true"
"183","881","55","true","183","18","125","true","183","317","95","true"
"184","881","55","true","184","18","125","true","184","317","95","true"
"185","881","55","true","185","18","125","true","185","317","95","true"
"186","881","55","true","186","18","125","true","186","317","95","true"
"187","882","55","true","187","18","125","true","187","317","95","true"
"188","882","55","true","188","17","125","true","188","318","95","true"
