"export-plot data (NetLogo 7.0.4)"
"main.nlogox"
"06/21/2026 14:03:29:950 -0300"

"MODEL SETTINGS"
"usar-brigadistas?","ocupantes-por-andar","sigma-reacao","coef-difusao-fumaca","mu-reacao","posicao-fogo","andar-fogo","taxa-propagacao-fogo","t-reacao-max","t-alarme","andar-visualizar"
"true","30","0.7","0.1","2.4","""aleatorio""","20","0.02","65","4","20"

"""Curva de Evacuação"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","160","0","900","true","""Evacuados""","false","3"

"pen name","pen down?","mode","interval","color","x"
"""Evacuados""","true","0","1","55","151"
"""Feridos""","true","0","1","125","151"
"""Mortos""","true","0","1","95","151"

"""Evacuados""",,,,"""Feridos""",,,,"""Mortos"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","55","true","0","0","125","true","0","0","95","true"
"1","0","55","true","1","1","125","true","1","0","95","true"
"2","0","55","true","2","1","125","true","2","0","95","true"
"3","0","55","true","3","1","125","true","3","0","95","true"
"4","0","55","true","4","1","125","true","4","0","95","true"
"5","0","55","true","5","1","125","true","5","0","95","true"
"6","0","55","true","6","1","125","true","6","0","95","true"
"7","0","55","true","7","1","125","true","7","0","95","true"
"8","0","55","true","8","1","125","true","8","0","95","true"
"9","0","55","true","9","1","125","true","9","0","95","true"
"10","1","55","true","10","0","125","true","10","1","95","true"
"11","3","55","true","11","0","125","true","11","1","95","true"
"12","3","55","true","12","0","125","true","12","1","95","true"
"13","3","55","true","13","0","125","true","13","1","95","true"
"14","5","55","true","14","0","125","true","14","1","95","true"
"15","9","55","true","15","0","125","true","15","1","95","true"
"16","15","55","true","16","0","125","true","16","1","95","true"
"17","20","55","true","17","0","125","true","17","1","95","true"
"18","24","55","true","18","0","125","true","18","1","95","true"
"19","32","55","true","19","0","125","true","19","1","95","true"
"20","45","55","true","20","0","125","true","20","1","95","true"
"21","58","55","true","21","0","125","true","21","1","95","true"
"22","67","55","true","22","0","125","true","22","1","95","true"
"23","75","55","true","23","0","125","true","23","1","95","true"
"24","86","55","true","24","0","125","true","24","1","95","true"
"25","99","55","true","25","0","125","true","25","1","95","true"
"26","108","55","true","26","0","125","true","26","1","95","true"
"27","120","55","true","27","0","125","true","27","1","95","true"
"28","128","55","true","28","0","125","true","28","1","95","true"
"29","137","55","true","29","0","125","true","29","1","95","true"
"30","149","55","true","30","0","125","true","30","1","95","true"
"31","161","55","true","31","0","125","true","31","1","95","true"
"32","166","55","true","32","0","125","true","32","1","95","true"
"33","172","55","true","33","0","125","true","33","1","95","true"
"34","185","55","true","34","0","125","true","34","1","95","true"
"35","201","55","true","35","0","125","true","35","1","95","true"
"36","219","55","true","36","0","125","true","36","1","95","true"
"37","239","55","true","37","0","125","true","37","1","95","true"
"38","255","55","true","38","0","125","true","38","1","95","true"
"39","269","55","true","39","0","125","true","39","1","95","true"
"40","280","55","true","40","0","125","true","40","1","95","true"
"41","294","55","true","41","0","125","true","41","1","95","true"
"42","304","55","true","42","0","125","true","42","1","95","true"
"43","319","55","true","43","0","125","true","43","1","95","true"
"44","329","55","true","44","0","125","true","44","1","95","true"
"45","341","55","true","45","0","125","true","45","1","95","true"
"46","355","55","true","46","0","125","true","46","1","95","true"
"47","367","55","true","47","0","125","true","47","1","95","true"
"48","384","55","true","48","0","125","true","48","1","95","true"
"49","399","55","true","49","0","125","true","49","1","95","true"
"50","410","55","true","50","0","125","true","50","1","95","true"
"51","421","55","true","51","0","125","true","51","1","95","true"
"52","434","55","true","52","0","125","true","52","1","95","true"
"53","441","55","true","53","0","125","true","53","1","95","true"
"54","451","55","true","54","0","125","true","54","1","95","true"
"55","462","55","true","55","0","125","true","55","1","95","true"
"56","473","55","true","56","0","125","true","56","1","95","true"
"57","484","55","true","57","0","125","true","57","1","95","true"
"58","494","55","true","58","0","125","true","58","1","95","true"
"59","503","55","true","59","0","125","true","59","1","95","true"
"60","514","55","true","60","0","125","true","60","1","95","true"
"61","527","55","true","61","0","125","true","61","1","95","true"
"62","538","55","true","62","0","125","true","62","1","95","true"
"63","548","55","true","63","0","125","true","63","1","95","true"
"64","558","55","true","64","0","125","true","64","1","95","true"
"65","567","55","true","65","0","125","true","65","1","95","true"
"66","574","55","true","66","0","125","true","66","1","95","true"
"67","581","55","true","67","0","125","true","67","1","95","true"
"68","585","55","true","68","0","125","true","68","1","95","true"
"69","591","55","true","69","0","125","true","69","1","95","true"
"70","600","55","true","70","0","125","true","70","1","95","true"
"71","607","55","true","71","0","125","true","71","1","95","true"
"72","617","55","true","72","0","125","true","72","1","95","true"
"73","626","55","true","73","0","125","true","73","1","95","true"
"74","637","55","true","74","0","125","true","74","1","95","true"
"75","647","55","true","75","0","125","true","75","1","95","true"
"76","656","55","true","76","0","125","true","76","1","95","true"
"77","665","55","true","77","0","125","true","77","1","95","true"
"78","672","55","true","78","0","125","true","78","1","95","true"
"79","676","55","true","79","0","125","true","79","1","95","true"
