"export-plot data (NetLogo 7.0.4)"
"main.nlogox"
"06/21/2026 13:59:57:426 -0300"

"MODEL SETTINGS"
"usar-brigadistas?","ocupantes-por-andar","sigma-reacao","coef-difusao-fumaca","mu-reacao","posicao-fogo","andar-fogo","taxa-propagacao-fogo","t-reacao-max","t-alarme","andar-visualizar"
"false","30","0.7","0.5","2.4","""aleatorio""","10","0.14","65","4","10"

"""Progressão do Fogo"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","88","0","5400","true","""Panico""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""Panico""","true","0","1","15","88"

"""Panico"""
"x","y","color","pen down?"
"0","0","15","true"
"1","2","15","true"
"2","3","15","true"
"3","5","15","true"
"4","12","15","true"
"5","16","15","true"
"6","19","15","true"
"7","26","15","true"
"8","33","15","true"
"9","38","15","true"
"10","44","15","true"
"11","47","15","true"
"12","50","15","true"
"13","54","15","true"
"14","58","15","true"
"15","59","15","true"
"16","59","15","true"
"17","61","15","true"
"18","62","15","true"
"19","64","15","true"
"20","68","15","true"
"21","83","15","true"
"22","91","15","true"
"23","109","15","true"
"24","141","15","true"
"25","191","15","true"
"26","246","15","true"
"27","299","15","true"
"28","373","15","true"
"29","437","15","true"
"30","496","15","true"
"31","562","15","true"
"32","622","15","true"
"33","685","15","true"
"34","739","15","true"
"35","808","15","true"
"36","872","15","true"
"37","952","15","true"
"38","1036","15","true"
"39","1121","15","true"
"40","1223","15","true"
"41","1355","15","true"
"42","1504","15","true"
"43","1686","15","true"
"44","1835","15","true"
"45","2019","15","true"
"46","2169","15","true"
"47","2329","15","true"
"48","2484","15","true"
"49","2647","15","true"
"50","2785","15","true"
"51","2924","15","true"
"52","3063","15","true"
"53","3221","15","true"
"54","3360","15","true"
"55","3534","15","true"
"56","3692","15","true"
"57","3847","15","true"
"58","3989","15","true"
"59","4126","15","true"
"60","4255","15","true"
"61","4345","15","true"
"62","4459","15","true"
"63","4549","15","true"
"64","4619","15","true"
"65","4691","15","true"
"66","4748","15","true"
"67","4817","15","true"
"68","4875","15","true"
"69","4933","15","true"
"70","4981","15","true"
"71","5014","15","true"
"72","5048","15","true"
"73","5081","15","true"
"74","5104","15","true"
"75","5131","15","true"
"76","5156","15","true"
"77","5169","15","true"
"78","5176","15","true"
"79","5188","15","true"
"80","5199","15","true"
"81","5208","15","true"
"82","5216","15","true"
"83","5232","15","true"
"84","5240","15","true"
"85","5253","15","true"
"86","5259","15","true"
"87","5262","15","true"
"88","5270","15","true"
