"export-plot data (NetLogo 7.0.4)"
"main.nlogox"
"06/17/2026 23:06:10:468 -0300"

"MODEL SETTINGS"
"usar-brigadistas?","ocupantes-por-andar","coef-difusao-fumaca","posicao-fogo","andar-fogo","taxa-propagacao-fogo","andar-visualizar"
"false","40","0.1","""aleatorio""","19","0.03","19"

"""Progressão do Fogo"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","340","0","500","true","""Area fogo""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""Area fogo""","true","0","1","15","335"

"""Area fogo"""
"x","y","color","pen down?"
"0","0","15","true"
"1","1","15","true"
"2","1","15","true"
"3","1","15","true"
"4","2","15","true"
"5","2","15","true"
"6","2","15","true"
"7","2","15","true"
"8","2","15","true"
"9","2","15","true"
"10","2","15","true"
"11","3","15","true"
"12","4","15","true"
"13","4","15","true"
"14","4","15","true"
"15","5","15","true"
"16","5","15","true"
"17","5","15","true"
"18","6","15","true"
"19","7","15","true"
"20","7","15","true"
"21","7","15","true"
"22","7","15","true"
"23","8","15","true"
"24","9","15","true"
"25","10","15","true"
"26","12","15","true"
"27","12","15","true"
"28","12","15","true"
"29","12","15","true"
"30","14","15","true"
"31","16","15","true"
"32","16","15","true"
"33","17","15","true"
"34","19","15","true"
"35","19","15","true"
"36","19","15","true"
"37","19","15","true"
"38","20","15","true"
"39","22","15","true"
"40","23","15","true"
"41","24","15","true"
"42","25","15","true"
"43","25","15","true"
"44","25","15","true"
"45","25","15","true"
"46","27","15","true"
"47","27","15","true"
"48","28","15","true"
"49","28","15","true"
"50","28","15","true"
"51","29","15","true"
"52","31","15","true"
"53","31","15","true"
"54","33","15","true"
"55","33","15","true"
"56","34","15","true"
"57","35","15","true"
"58","36","15","true"
"59","37","15","true"
"60","40","15","true"
"61","40","15","true"
"62","40","15","true"
"63","41","15","true"
"64","42","15","true"
"65","43","15","true"
"66","44","15","true"
"67","46","15","true"
"68","46","15","true"
"69","46","15","true"
"70","46","15","true"
"71","46","15","true"
"72","47","15","true"
"73","49","15","true"
"74","49","15","true"
"75","49","15","true"
"76","49","15","true"
"77","49","15","true"
"78","50","15","true"
"79","53","15","true"
"80","54","15","true"
"81","54","15","true"
"82","55","15","true"
"83","55","15","true"
"84","57","15","true"
"85","59","15","true"
"86","59","15","true"
"87","59","15","true"
"88","60","15","true"
"89","61","15","true"
"90","61","15","true"
"91","63","15","true"
"92","65","15","true"
"93","66","15","true"
"94","66","15","true"
"95","67","15","true"
"96","68","15","true"
"97","71","15","true"
"98","74","15","true"
"99","76","15","true"
"100","76","15","true"
"101","79","15","true"
"102","81","15","true"
"103","83","15","true"
"104","84","15","true"
"105","85","15","true"
"106","86","15","true"
"107","87","15","true"
"108","88","15","true"
"109","89","15","true"
"110","89","15","true"
"111","91","15","true"
"112","92","15","true"
"113","94","15","true"
"114","96","15","true"
"115","102","15","true"
"116","106","15","true"
"117","110","15","true"
"118","112","15","true"
"119","114","15","true"
"120","117","15","true"
"121","117","15","true"
"122","119","15","true"
"123","123","15","true"
"124","124","15","true"
"125","126","15","true"
"126","127","15","true"
"127","132","15","true"
"128","135","15","true"
"129","138","15","true"
"130","142","15","true"
"131","145","15","true"
"132","147","15","true"
"133","149","15","true"
"134","150","15","true"
"135","154","15","true"
"136","155","15","true"
"137","157","15","true"
"138","159","15","true"
"139","159","15","true"
"140","161","15","true"
"141","164","15","true"
"142","165","15","true"
"143","170","15","true"
"144","171","15","true"
"145","174","15","true"
"146","174","15","true"
"147","177","15","true"
"148","181","15","true"
"149","181","15","true"
"150","184","15","true"
"151","185","15","true"
"152","186","15","true"
"153","188","15","true"
"154","189","15","true"
"155","192","15","true"
"156","193","15","true"
"157","194","15","true"
"158","199","15","true"
"159","202","15","true"
"160","205","15","true"
"161","207","15","true"
"162","207","15","true"
"163","211","15","true"
"164","212","15","true"
"165","214","15","true"
"166","214","15","true"
"167","215","15","true"
"168","215","15","true"
"169","216","15","true"
"170","218","15","true"
"171","218","15","true"
"172","221","15","true"
"173","222","15","true"
"174","222","15","true"
"175","223","15","true"
"176","225","15","true"
"177","226","15","true"
"178","228","15","true"
"179","228","15","true"
"180","228","15","true"
"181","230","15","true"
"182","230","15","true"
"183","230","15","true"
"184","230","15","true"
"185","230","15","true"
"186","231","15","true"
"187","231","15","true"
"188","231","15","true"
"189","232","15","true"
"190","232","15","true"
"191","233","15","true"
"192","235","15","true"
"193","236","15","true"
"194","237","15","true"
"195","238","15","true"
"196","238","15","true"
"197","239","15","true"
"198","240","15","true"
"199","242","15","true"
"200","244","15","true"
"201","244","15","true"
"202","245","15","true"
"203","245","15","true"
"204","245","15","true"
"205","247","15","true"
"206","247","15","true"
"207","247","15","true"
"208","248","15","true"
"209","248","15","true"
"210","248","15","true"
"211","248","15","true"
"212","248","15","true"
"213","248","15","true"
"214","249","15","true"
"215","252","15","true"
"216","254","15","true"
"217","255","15","true"
"218","256","15","true"
"219","256","15","true"
"220","257","15","true"
"221","258","15","true"
"222","259","15","true"
"223","260","15","true"
"224","262","15","true"
"225","264","15","true"
"226","267","15","true"
"227","272","15","true"
"228","275","15","true"
"229","278","15","true"
"230","279","15","true"
"231","279","15","true"
"232","283","15","true"
"233","285","15","true"
"234","288","15","true"
"235","290","15","true"
"236","294","15","true"
"237","294","15","true"
"238","296","15","true"
"239","299","15","true"
"240","301","15","true"
"241","303","15","true"
"242","306","15","true"
"243","306","15","true"
"244","307","15","true"
"245","309","15","true"
"246","310","15","true"
"247","312","15","true"
"248","312","15","true"
"249","313","15","true"
"250","314","15","true"
"251","315","15","true"
"252","317","15","true"
"253","317","15","true"
"254","317","15","true"
"255","318","15","true"
"256","320","15","true"
"257","320","15","true"
"258","323","15","true"
"259","323","15","true"
"260","323","15","true"
"261","324","15","true"
"262","324","15","true"
"263","326","15","true"
"264","329","15","true"
"265","330","15","true"
"266","330","15","true"
"267","330","15","true"
"268","333","15","true"
"269","338","15","true"
"270","339","15","true"
"271","341","15","true"
"272","344","15","true"
"273","347","15","true"
"274","350","15","true"
"275","351","15","true"
"276","353","15","true"
"277","355","15","true"
"278","356","15","true"
"279","357","15","true"
