"export-plot data (NetLogo 7.0.4)"
"main.nlogox"
"06/17/2026 23:05:37:388 -0300"

"MODEL SETTINGS"
"usar-brigadistas?","ocupantes-por-andar","coef-difusao-fumaca","posicao-fogo","andar-fogo","taxa-propagacao-fogo","andar-visualizar"
"true","40","0.1","""aleatorio""","2","0.03","2"

"""Indicadores de Risco"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","200","0","10","true","""Panico""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""Panico""","true","0","1","115","188"
"""pen-1""","true","0","1","25","188"

"""Panico""",,,,"""pen-1"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","115","true","0","0","25","true"
"1","0","115","true","1","1.3491653304750505E-6","25","true"
"2","0","115","true","2","3.864244827016607E-6","25","true"
"3","0","115","true","3","6.137458459993002E-6","25","true"
"4","0","115","true","4","8.590106608185081E-6","25","true"
"5","0","115","true","5","1.140325118223413E-5","25","true"
"6","0","115","true","6","1.4400980779944936E-5","25","true"
"7","0","115","true","7","1.7628443743175307E-5","25","true"
"8","0","115","true","8","2.1105787913417496E-5","25","true"
"9","0","115","true","9","2.4900068183921212E-5","25","true"
"10","0","115","true","10","2.937224383993559E-5","25","true"
"11","0","115","true","11","3.443670512544182E-5","25","true"
"12","0","115","true","12","3.9946723782710733E-5","25","true"
"13","0","115","true","13","4.6367953973357874E-5","25","true"
"14","0","115","true","14","5.30800864126658E-5","25","true"
"15","0","115","true","15","6.055541510854524E-5","25","true"
"16","0","115","true","16","6.933315290584214E-5","25","true"
"17","0","115","true","17","7.549770668213027E-5","25","true"
"18","0","115","true","18","8.23210296971494E-5","25","true"
"19","0","115","true","19","8.986159365586577E-5","25","true"
"20","0","115","true","20","9.825603606293643E-5","25","true"
"21","0","115","true","21","1.0764503999653278E-4","25","true"
"22","0","115","true","22","1.198506131092739E-4","25","true"
"23","0","115","true","23","1.3349173279730804E-4","25","true"
"24","1.680672268907563E-5","115","true","24","1.506872383215828E-4","25","true"
"25","2.540220152413209E-5","115","true","25","1.6449272517545123E-4","25","true"
"26","9.385665529010238E-5","115","true","26","1.6748122419378453E-4","25","true"
"27","2.9285099052540924E-4","115","true","27","1.7110369266740486E-4","25","true"
"28","5.103806228373705E-4","115","true","28","1.7445482648820147E-4","25","true"
"29","9.74760661444735E-4","115","true","29","1.7836885624259263E-4","25","true"
"30","0.0015687992988606498","115","true","30","1.8285157661667608E-4","25","true"
"31","0.002462356067316207","115","true","31","1.8825318245652197E-4","25","true"
"32","0.003461538461538455","115","true","32","1.9392705068426463E-4","25","true"
"33","0.0047649186256781065","115","true","33","2.0039745764063353E-4","25","true"
"34","0.006184812442817915","115","true","34","2.074781273755736E-4","25","true"
"35","0.007983348751156307","115","true","35","2.1178339617801265E-4","25","true"
"36","0.010252572497661323","115","true","36","2.1969819692271899E-4","25","true"
"37","0.012978322337417476","115","true","37","2.2923120322582857E-4","25","true"
"38","0.015790476190476143","115","true","38","2.3364891268912773E-4","25","true"
"39","0.01908565928777667","115","true","39","2.4084028272597016E-4","25","true"
"40","0.022294921874999953","115","true","40","2.5066731046327644E-4","25","true"
"41","0.026013847675568753","115","true","41","2.642740405927164E-4","25","true"
"42","0.02973921765295884","115","true","42","2.7744783560669094E-4","25","true"
"43","0.03391215526046989","115","true","43","2.735894992904267E-4","25","true"
"44","0.03832298136645961","115","true","44","2.8898803477721453E-4","25","true"
"45","0.042539349422875086","115","true","45","3.067107063361504E-4","25","true"
"46","0.04711252653927812","115","true","46","3.247084071616991E-4","25","true"
"47","0.05181916038751347","115","true","47","3.3594081171250023E-4","25","true"
"48","0.05694656488549625","115","true","48","3.418000482364283E-4","25","true"
"49","0.062419889502762456","115","true","49","3.602881103523619E-4","25","true"
"50","0.06753378378378386","115","true","50","3.65609520990576E-4","25","true"
"51","0.07226436781609202","115","true","51","3.826792807899124E-4","25","true"
"52","0.07766550522648084","115","true","52","4.1497000519716184E-4","25","true"
"53","0.08271445358401879","115","true","53","4.401731382018244E-4","25","true"
"54","0.08796893667861419","115","true","54","4.680965189512933E-4","25","true"
"55","0.09444714459295263","115","true","55","4.85389326320195E-4","25","true"
"56","0.09988819875776404","115","true","56","4.917659570569881E-4","25","true"
"57","0.10478426395939089","115","true","57","4.987775576147647E-4","25","true"
"58","0.11045395590142686","115","true","58","5.353989119766477E-4","25","true"
"59","0.11521390374331539","115","true","59","5.079414425752903E-4","25","true"
